PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
Derrick Brown,CHA,22,0.9,1.7,53.1,0.1,0.2,45.5,0.2,0.6,29.0,0.0,0.0,100,0.0,0.1,25.0,0.0,0.1,0.0,0.0,0.0,0.0
Derrick Rose,CHI,21,3.1,5.6,55.7,1.6,2.9,56.1,3.7,8.4,44.0,0.1,0.1,44.4,0.0,0.1,0.0,0.1,0.2,50.0,0.2,0.6,27.3
Desmond Mason,SAC,32,0.8,1.4,57.1,0.0,0.0,0.0,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Devean George,GSW,32,0.3,0.6,53.8,0.1,0.2,55.6,0.5,1.1,45.8,0.3,0.6,50.0,0.3,0.6,47.8,0.6,1.2,50.0,0.6,1.8,33.3
Devin Brown,CHI,31,1.1,2.1,54.3,0.1,0.6,22.6,0.3,1.2,23.0,0.1,0.2,57.1,0.2,0.5,31.6,0.3,0.7,42.9,1.0,2.8,34.8
Devin Harris,NJN,27,2.5,4.8,51.5,0.7,1.9,34.7,1.5,3.8,40.2,0.0,0.1,33.3,0.0,0.2,27.3,0.0,0.3,0.0,0.9,3.1,27.8
Dirk Nowitzki,DAL,32,1.9,3.0,61.9,1.0,2.4,41.1,5.4,11.5,46.7,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,-,0.6,1.5,41.2
Dominic McGuire,SAC,24,0.2,0.5,48.0,0.0,0.2,0.0,0.2,0.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Donte Greene,SAC,22,1.3,2.1,59.3,0.3,1.1,32.9,0.7,1.7,41.1,0.1,0.3,27.8,0.1,0.3,26.3,0.2,0.6,33.3,0.8,1.9,40.4
Dorell Wright,MIA,24,1.1,1.5,72.9,0.1,0.3,37.5,0.6,1.8,35.1,0.3,0.7,38.1,0.4,0.9,43.9,0.7,1.6,43.7,0.3,0.8,35.1
Drew Gooden,LAC,28,2.3,4.1,55.1,0.8,1.6,48.6,1.1,2.8,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,20.0
Dwayne Jones,PHX,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Dwight Howard,ORL,24,4.4,5.9,74.1,1.6,3.5,45.8,0.3,0.7,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Dwyane Wade,MIA,28,5.0,7.3,67.6,0.9,2.2,42.3,2.5,6.9,36.1,0.1,0.3,21.1,0.0,0.1,16.7,0.1,0.4,25.0,0.9,2.8,31.8
Earl Barron,NYK,28,1.9,3.6,52.0,0.4,1.0,42.9,2.0,5.1,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Earl Boykins,WAS,34,0.5,0.9,60.0,0.5,1.1,42.5,1.3,3.1,41.0,0.0,0.2,22.2,0.0,0.1,20.0,0.0,0.3,0.0,0.2,0.7,34.8
Earl Clark,PHX,22,0.3,0.6,51.5,0.3,0.7,38.5,0.5,1.7,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,66.7
Earl Watson,IND,31,1.3,2.2,60.0,0.5,1.1,43.5,0.4,1.0,35.0,0.1,0.2,26.7,0.1,0.4,25.9,0.2,0.6,33.3,0.5,1.8,30.0
Eddie House,NYK,32,0.3,0.5,50.0,0.0,0.1,28.6,1.1,2.8,40.1,0.3,0.7,35.7,0.1,0.3,21.4,0.4,1.0,40.0,0.9,2.5,35.7
Eddy Curry,NYK,27,0.4,1.6,27.3,0.6,1.3,44.4,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Eduardo Najera,DAL,33,0.7,1.3,56.9,0.0,0.1,16.7,0.2,0.4,50.0,0.1,0.1,60.0,0.0,0.1,0.0,0.1,0.2,50.0,0.4,1.2,29.1
Elton Brand,PHI,31,1.8,3.1,58.2,1.4,3.0,48.0,2.2,5.2,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Emeka Okafor,NOH,27,3.0,4.6,65.1,0.8,2.1,38.9,0.4,1.2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Eric Gordon,LAC,21,2.7,4.5,59.6,0.4,0.9,41.5,0.7,2.1,33.8,0.1,0.3,41.2,0.1,0.3,40.0,0.2,0.6,33.3,1.7,4.6,36.9
Eric Maynor,OKC,23,0.5,1.1,46.7,0.7,1.5,44.8,0.5,1.1,41.6,0.0,0.1,0.0,0.0,0.0,100,0.0,0.1,0.0,0.3,0.8,32.3
Erick Dampier,DAL,34,2.1,3.2,64.8,0.3,0.5,53.6,0.1,0.1,50.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Ersan Ilyasova,MIL,23,1.6,2.7,60.4,0.3,0.6,46.8,1.1,2.8,39.7,0.0,0.2,16.7,0.0,0.2,27.3,0.0,0.4,0.0,0.9,2.7,34.9
Etan Thomas,OKC,32,0.9,1.5,60.0,0.4,1.0,37.5,0.0,0.4,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Fabricio Oberto,WAS,35,0.5,0.7,68.3,0.1,0.2,44.4,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Flip Murray,CHI,30,1.2,2.4,51.7,0.3,0.9,35.9,1.1,2.9,38.2,0.2,0.4,41.4,0.2,0.5,37.1,0.4,0.9,44.4,0.6,2.0,28.9
Francisco Elson,PHI,34,0.2,0.3,66.7,0.0,0.1,0.0,0.3,0.9,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Francisco Garcia,SAC,28,0.9,1.2,75.9,0.1,0.3,42.9,1.4,3.2,42.0,0.1,0.4,37.5,0.2,0.6,33.3,0.3,1.0,30.0,0.7,1.5,43.2
Garrett Temple,SAS,24,0.8,1.1,70.0,0.2,0.3,66.7,0.2,1.1,21.4,0.2,0.7,33.3,0.4,0.7,61.5,0.6,1.4,42.9,0.0,0.4,9.1
George Hill,SAS,24,2.1,3.2,63.7,0.3,0.9,36.6,1.2,2.9,40.4,0.4,1.0,42.9,0.5,1.0,46.5,0.9,2.0,45.0,0.1,0.5,23.7
Gerald Henderson,CHA,22,0.5,0.9,53.8,0.0,0.2,14.3,0.3,0.9,28.2,0.1,0.2,50.0,0.0,0.1,0.0,0.1,0.3,33.3,0.1,0.3,18.2
Gerald Wallace,CHA,27,4.3,7.2,58.8,0.3,0.8,33.3,0.8,2.6,31.4,0.3,0.7,38.2,0.2,0.5,41.5,0.5,1.2,41.7,0.2,0.6,31.8
Gilbert Arenas,WAS,28,2.2,4.2,52.6,0.8,2.3,36.0,2.9,7.1,41.0,0.1,0.3,50.0,0.0,0.2,0.0,0.1,0.5,20.0,1.8,5.2,35.3
Glen Davis,BOS,24,1.5,2.8,51.6,0.3,0.8,38.6,0.5,1.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Goran Dragic,PHX,24,1.1,1.8,61.3,0.3,0.6,43.5,0.5,1.4,35.7,0.1,0.2,42.9,0.1,0.3,50.0,0.2,0.5,40.0,0.7,1.9,38.2
Grant Hill,PHX,37,1.6,2.7,58.4,0.6,1.3,43.7,1.6,3.7,42.5,0.1,0.4,31.3,0.2,0.4,56.3,0.3,0.8,37.5,0.1,0.2,40.0
Greg Oden,POR,22,3.8,5.5,69.6,0.3,1.1,30.4,0.2,0.7,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Hakim Warrick,CHI,27,2.0,3.3,61.3,0.3,0.8,38.7,1.1,3.0,37.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,-,0.0,0.1,0.0
Hamed Haddadi,MEM,25,0.5,1.0,48.6,0.1,0.4,23.1,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Hasheem Thabeet,MEM,23,1.0,1.5,64.4,0.1,0.3,37.5,0.1,0.2,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Hedo Turkoglu,TOR,31,1.2,2.2,53.1,0.2,0.5,46.2,0.9,2.5,34.8,0.1,0.3,45.5,0.1,0.1,50.0,0.2,0.4,50.0,1.3,3.5,37.3
Henry Walker,NYK,22,1.5,2.3,65.9,0.2,0.4,46.2,0.3,0.6,47.6,0.3,0.5,53.3,0.3,0.6,43.8,0.6,1.1,54.5,1.1,2.7,41.2
Hilton Armstrong,HOU,25,0.5,1.1,50.0,0.2,0.7,27.3,0.1,0.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Ian Mahinmi,SAS,23,1.0,1.4,75.0,0.3,0.5,55.6,0.1,0.4,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Ime Udoka,SAC,32,0.5,0.9,54.1,0.1,0.4,40.9,0.3,1.0,34.3,0.2,0.6,37.0,0.3,0.9,29.4,0.5,1.5,33.3,0.1,0.4,17.2
J.J. Barea,DAL,26,1.2,2.3,54.2,0.3,1.0,35.5,0.7,1.5,45.3,0.0,0.2,27.3,0.1,0.2,50.0,0.1,0.4,25.0,0.6,1.8,35.3
J.R. Giddens,NYK,25,0.8,0.9,80.0,0.0,0.1,0.0,0.2,0.8,22.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0
JJ Hickson,CLE,21,2.9,4.2,68.5,0.4,0.9,44.4,0.3,1.3,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
JJ Redick,ORL,26,0.7,1.1,59.3,0.2,0.3,57.1,0.8,2.0,39.5,0.2,0.5,51.4,0.2,0.4,61.5,0.4,0.9,44.4,0.9,2.6,36.2
JR Smith,DEN,24,1.6,2.6,62.9,0.7,1.6,46.6,1.2,3.4,36.6,0.2,0.4,44.4,0.2,0.4,51.7,0.4,0.8,50.0,1.7,5.3,32.7
JaVale McGee,WAS,22,2.1,3.4,62.7,0.4,1.2,34.9,0.1,0.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Jamaal Magloire,MIA,32,0.7,1.2,59.5,0.1,0.3,27.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Jamaal Tinsley,MEM,32,0.5,0.7,66.7,0.4,1.0,39.5,0.3,0.9,33.3,0.0,0.2,25.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.9,18.2
Jamal Crawford,ATL,30,1.7,2.6,64.5,0.5,1.5,35.3,2.0,4.5,44.8,0.6,1.4,40.4,0.2,0.6,34.1,0.8,2.0,40.0,1.3,3.3,38.7
Jamario Moon,CLE,30,0.9,1.2,72.2,0.0,0.1,20.0,0.5,1.1,41.4,0.1,0.5,27.3,0.2,0.6,28.0,0.3,1.1,27.3,0.3,0.9,35.8
Jameer Nelson,ORL,28,1.7,3.1,56.0,0.4,0.9,41.0,1.4,3.4,42.9,0.1,0.4,30.4,0.1,0.1,71.4,0.2,0.5,40.0,1.1,3.0,37.8
James Harden,OKC,20,1.2,2.5,46.6,0.1,0.3,28.0,0.6,1.5,38.6,0.3,0.5,51.7,0.2,0.3,45.0,0.5,0.8,62.5,0.9,2.6,35.0
James Johnson,CHI,23,1.0,1.6,60.0,0.1,0.2,30.8,0.2,0.7,28.3,0.1,0.3,41.7,0.1,0.3,50.0,0.2,0.6,33.3,0.1,0.4,21.7
James Jones,MIA,29,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.7,24.0,0.2,0.6,27.3,0.3,0.8,39.1,0.5,1.4,35.7,0.8,1.7,44.6
James Posey,NOH,33,0.4,0.8,50.0,0.1,0.2,50.0,0.1,0.4,25.9,0.3,0.7,37.8,0.1,0.3,21.1,0.4,1.0,40.0,0.8,2.3,33.9
James Singleton,WAS,28,0.8,1.6,49.4,0.2,0.6,34.5,0.7,1.8,36.4,0.0,0.0,0.0,0.1,0.2,33.3,0.1,0.2,50.0,0.1,0.5,17.2
JamesOn Curry,LAC,24,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,-,-
Jannero Pargo,CHI,30,0.4,0.7,50.0,0.2,0.4,40.0,1.1,3.0,35.6,0.2,0.5,34.8,0.1,0.5,23.8,0.3,1.0,30.0,0.4,1.5,26.9
Jared Dudley,PHX,24,0.8,1.6,50.4,0.1,0.4,33.3,0.3,0.8,42.9,0.3,0.6,50.0,0.5,1.0,45.6,0.8,1.6,50.0,0.7,1.6,45.2
Jared Jeffries,HOU,28,1.4,2.6,53.0,0.0,0.2,17.6,0.3,0.6,40.0,0.1,0.4,17.4,0.1,0.1,57.1,0.2,0.5,40.0,0.2,0.6,32.5
Jarrett Jack,TOR,26,1.4,2.4,60.3,0.7,1.3,53.7,0.8,2.1,38.8,0.2,0.5,45.7,0.1,0.3,41.7,0.3,0.8,37.5,0.7,1.7,40.9
Jarron Collins,PHX,31,0.2,0.4,53.3,0.1,0.4,27.3,0.0,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Jarvis Hayes,NJN,28,0.5,0.7,77.4,0.0,0.2,10.0,1.2,2.4,49.1,0.4,1.0,40.5,0.2,0.7,24.1,0.6,1.7,35.3,0.8,2.4,33.6
Jason Collins,ATL,31,0.0,0.2,25.0,0.0,0.2,0.0,0.3,0.7,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,0.0
Jason Hart,NOH,32,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.0,0.0,-,-,-,0.0,0.0,-,0.0,0.0,0.0
Jason Kapono,PHI,29,0.2,0.2,75.0,0.1,0.2,33.3,0.9,1.9,46.8,0.2,0.4,55.6,0.4,0.9,45.0,0.6,1.3,46.2,0.6,2.1,31.0
Jason Kidd,DAL,37,0.6,1.2,55.4,0.1,0.4,23.3,0.6,1.7,37.0,0.2,0.5,40.5,0.2,0.6,41.9,0.4,1.1,36.4,1.8,4.1,43.2
Jason Maxiell,DET,27,1.5,2.3,65.5,0.4,0.8,44.8,0.9,2.4,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Jason Richardson,PHX,29,2.7,4.1,65.6,0.6,1.2,47.3,0.8,2.3,33.5,0.3,0.7,38.9,0.4,1.0,41.6,0.7,1.7,41.2,1.3,3.4,38.7
Jason Smith,PHI,24,0.7,1.2,60.0,0.2,0.4,40.9,0.3,1.0,29.3,0.1,0.2,50.0,0.1,0.3,22.2,0.2,0.5,40.0,0.1,0.3,35.7
Jason Terry,DAL,32,1.2,2.1,60.0,0.5,1.4,39.3,2.4,5.2,45.4,0.4,0.9,47.1,0.2,0.5,36.8,0.6,1.4,42.9,1.2,3.4,33.8
Jason Thompson,SAC,23,2.4,3.9,60.4,1.1,2.6,40.8,1.5,3.9,39.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,-,0.0,0.1,0.0
Jason Williams,ORL,34,0.6,1.0,60.2,0.1,0.1,50.0,0.6,1.4,44.6,0.2,0.3,63.6,0.1,0.3,38.9,0.3,0.6,50.0,0.8,2.1,36.0
Jawad Williams,CLE,27,0.4,0.8,51.2,0.1,0.3,38.5,0.5,1.1,42.1,0.1,0.3,30.8,0.2,0.5,46.7,0.3,0.8,37.5,0.4,1.3,29.2
