PLAYER,TEAM,AGE,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
Jae Crowder,UTA,28,1.4,2.3,59.4,0.1,0.3,40.0,0.0,0.2,12.5,0.1,0.1,54.5,1.4,4.0,35.5,1.0,2.9,32.9
Jahlil Okafor,NOP,23,2.7,4.1,66.4,0.7,1.6,44.9,0.3,0.6,46.7,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.1,33.3
Jake Layman,POR,25,1.8,2.5,72.6,0.1,0.3,42.9,0.1,0.2,50.0,0.1,0.3,40.0,0.4,1.5,26.9,0.5,1.2,39.8
Jakob Poeltl,SAS,23,2.1,3.1,68.5,0.2,0.5,45.0,0.1,0.1,50.0,0.0,0.1,50.0,0.0,0.0,100,0.0,0.0,0.0
Jalen Brunson,DAL,22,1.4,2.2,64.0,0.6,1.3,45.6,0.5,1.1,46.7,0.3,0.8,39.6,0.5,1.4,33.0,0.4,1.2,36.9
Jalen Jones,CLE,26,0.8,1.3,65.0,0.1,0.6,25.0,0.1,0.1,50.0,0.0,0.2,0.0,0.2,0.6,30.0,0.4,1.2,33.3
Jamal Crawford,PHX,39,0.2,0.4,50.0,0.1,0.4,32.0,0.5,1.0,49.2,0.8,1.7,50.0,0.4,1.3,27.7,0.7,2.0,35.9
Jamal Murray,DEN,22,2.0,3.6,54.6,0.7,1.7,40.0,0.9,2.2,43.0,1.0,2.1,46.2,1.2,2.6,45.1,1.1,3.2,32.9
James Ennis III,PHI,28,1.3,2.1,62.3,0.1,0.1,50.0,0.0,0.1,50.0,0.0,0.0,0.0,0.7,1.8,38.8,0.3,0.9,29.1
James Harden,HOU,29,4.2,7.4,56.2,1.2,2.4,49.2,0.4,0.9,46.5,0.2,0.4,36.4,0.9,2.7,34.4,3.9,10.2,37.7
James Johnson,MIA,32,1.7,2.7,61.9,0.2,0.8,27.9,0.1,0.4,23.8,0.1,0.3,40.0,0.4,1.3,32.9,0.5,1.4,34.2
James Nunnally,HOU,28,0.3,0.4,66.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,23.5,0.3,0.7,40.0
Jared Dudley,BKN,33,0.6,1.0,57.4,0.1,0.1,37.5,0.0,0.0,50.0,0.1,0.2,50.0,0.4,1.1,40.0,0.5,1.5,33.3
Jared Terrell,MIN,24,0.2,0.6,25.0,0.0,0.3,0.0,0.1,0.1,100,0.3,0.6,42.9,0.3,0.7,40.0,0.2,0.8,20.0
Jarell Martin,ORL,25,0.3,0.5,66.7,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.3,9.1,0.5,1.2,39.6,0.2,0.5,33.3
