PLAYER,TEAM,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
Isaiah Canaan,MIL ,28,30,24,36.0%,0.7,2.0,35.6,53.4,0.0%,0.0,0.0,-,36.0%,0.7,2.0,35.6
Isaiah Hartenstein,HOU ,21,28,5,14.6%,0.1,0.2,33.3,50.0,0.0%,0.0,0.0,-,14.6%,0.1,0.2,33.3
Isaiah Thomas,DEN ,30,12,11,30.9%,0.7,2.5,26.7,36.7,4.1%,0.2,0.3,50.0,26.8%,0.5,2.2,23.1
Ish Smith,DET ,30,56,40,14.5%,0.4,1.3,32.4,47.9,0.6%,0.0,0.1,33.3,13.9%,0.4,1.2,32.4
Ivan Rabb,MEM ,22,49,21,19.8%,0.2,0.9,26.2,29.8,12.7%,0.2,0.6,29.6,7.1%,0.1,0.3,20.0
Ivica Zubac,LAC ,22,59,14,4.7%,0.1,0.3,27.8,27.8,4.7%,0.1,0.3,27.8,0.0%,0.0,0.0,-
J.J. Barea,DAL ,35,38,30,13.0%,0.3,1.3,26.0,38.0,0.8%,0.0,0.1,33.3,12.2%,0.3,1.2,25.5
J.P. Macura,CHA ,24,2,1,44.4%,0.0,2.0,0.0,0.0,0.0%,0.0,0.0,-,44.4%,0.0,2.0,0.0
JJ Redick,PHI ,35,75,75,41.9%,2.4,5.7,42.6,60.4,6.8%,0.4,0.9,43.5,35.1%,2.0,4.8,42.4
JR Smith,CLE ,33,11,9,35.4%,0.9,2.5,35.7,53.6,1.3%,0.0,0.1,0.0,34.2%,0.9,2.5,37.0
JaKarr Sampson,CHI ,26,4,4,26.4%,1.3,3.5,35.7,53.6,0.0%,0.0,0.0,-,26.4%,1.3,3.5,35.7
JaMychal Green,LAC ,29,65,61,43.1%,1.3,3.1,42.4,58.0,9.7%,0.3,0.7,50.0,33.4%,1.0,2.5,40.3
JaVale McGee,LAL ,31,75,27,6.1%,0.1,0.5,25.6,26.9,4.2%,0.1,0.4,33.3,1.9%,0.0,0.2,8.3
Jabari Parker,WAS ,24,63,57,21.5%,0.8,2.5,32.7,46.2,3.1%,0.1,0.4,39.1,18.4%,0.7,2.2,31.6
Jacob Evans,GSW ,22,30,8,28.8%,0.1,0.5,26.7,40.0,0.0%,0.0,0.0,-,28.8%,0.1,0.5,26.7
Jae Crowder,UTA ,28,79,79,56.4%,1.9,5.6,34.8,50.3,4.3%,0.2,0.4,50.0,52.1%,1.7,5.2,33.6
Jahlil Okafor,NOP ,23,59,8,2.8%,0.0,0.2,10.0,15.0,1.9%,0.0,0.1,0.0,0.8%,0.0,0.1,33.3
Jake Layman,POR ,25,71,61,36.3%,0.7,2.2,30.5,44.8,1.4%,0.0,0.1,50.0,34.9%,0.6,2.1,29.7
Jakob Poeltl,SAS ,23,77,11,4.8%,0.1,0.2,57.1,57.1,4.8%,0.1,0.2,57.1,0.0%,0.0,0.0,-
Jalen Brunson,DAL ,22,73,54,20.2%,0.5,1.6,33.3,50.0,0.4%,0.0,0.0,0.0,19.9%,0.5,1.5,33.9
Jalen Jones,CLE ,26,16,10,43.5%,0.6,1.7,37.0,55.6,0.0%,0.0,0.0,-,43.5%,0.6,1.7,37.0
Jamal Crawford,PHX ,39,64,42,20.5%,0.5,1.4,36.7,53.9,1.4%,0.0,0.1,33.3,19.2%,0.5,1.3,36.9
Jamal Murray,DEN ,22,75,71,18.8%,1.2,3.0,41.6,59.5,1.7%,0.2,0.3,65.0,17.1%,1.1,2.7,39.3
James Ennis III,PHI ,28,58,52,47.3%,0.8,2.4,35.3,52.5,0.7%,0.0,0.0,50.0,46.6%,0.8,2.4,35.0
James Harden,HOU ,29,78,44,3.9%,0.4,0.9,41.9,61.5,0.2%,0.0,0.1,50.0,3.7%,0.4,0.9,41.4
James Johnson,MIA ,32,55,46,31.1%,0.7,2.1,31.4,46.6,1.8%,0.0,0.1,14.3,29.3%,0.7,2.0,32.4
James Nunnally,HOU ,28,15,7,61.8%,0.5,1.4,38.1,57.1,0.0%,0.0,0.0,-,61.8%,0.5,1.4,38.1
Jared Dudley,BKN ,33,59,52,66.1%,1.0,2.7,36.1,51.9,5.0%,0.1,0.2,58.3,61.1%,0.8,2.5,34.2
Jared Terrell,MIN ,24,14,9,28.9%,0.1,0.8,9.1,13.6,0.0%,0.0,0.0,-,28.9%,0.1,0.8,9.1
Jarell Martin,ORL ,25,41,30,62.5%,0.6,1.6,35.4,50.8,11.5%,0.1,0.3,25.0,51.0%,0.5,1.3,37.7
Jaren Jackson Jr.,MEM ,19,58,56,25.8%,1.0,2.6,38.2,53.6,4.1%,0.2,0.4,45.8,21.7%,0.8,2.2,36.7
Jaron Blossomgame,CLE ,25,27,17,38.3%,0.4,1.5,29.3,41.5,3.7%,0.1,0.1,50.0,34.6%,0.4,1.4,27.0
Jarred Vanderbilt,DEN ,20,17,1,5.6%,0.0,0.1,0.0,0.0,0.0%,0.0,0.0,-,5.6%,0.0,0.1,0.0
Jarrett Allen,BKN ,21,80,36,8.6%,0.1,0.6,12.2,18.4,0.7%,0.0,0.1,0.0,7.9%,0.1,0.6,13.3
Jason Smith,NOP ,33,20,18,62.7%,0.6,1.9,29.7,41.9,18.6%,0.1,0.6,18.2,44.1%,0.5,1.3,34.6
Jawun Evans,OKC ,22,8,1,7.1%,0.0,0.1,0.0,0.0,0.0%,0.0,0.0,-,7.1%,0.0,0.1,0.0
Jaylen Adams,ATL ,23,34,26,43.6%,0.5,1.4,35.4,53.1,0.0%,0.0,0.0,-,43.6%,0.5,1.4,35.4
Jaylen Brown,BOS ,22,74,71,32.2%,1.2,3.5,35.7,52.0,1.6%,0.1,0.2,61.5,30.6%,1.1,3.3,34.3
Jaylen Morris,MIL ,23,4,2,30.0%,0.3,0.8,33.3,50.0,0.0%,0.0,0.0,-,30.0%,0.3,0.8,33.3
Jayson Tatum,BOS ,21,79,69,20.8%,1.1,2.7,39.5,57.7,1.6%,0.1,0.2,41.2,19.1%,1.0,2.5,39.4
