PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Chris Paul,HOU,34,11,6,5,48.9,23.0,8.1,18.2,44.6,2.1,7.7,27.0,4.7,5.5,84.4,1.7,6.9,8.6,7.4,4.6,3.0,0.9,4.4,51.3,1,0,2.2
Clint Capela,HOU,25,11,6,5,49.1,15.9,6.8,12.2,56.1,0.0,0.0,0.0,2.2,5.2,42.9,6.1,10.7,16.8,2.4,2.4,0.4,1.8,3.9,43.9,6,0,-0.9
Cory Joseph,IND,27,4,0,4,50.9,18.0,7.2,14.4,50.0,2.4,5.4,44.4,1.2,1.2,100,0.6,3.6,4.2,2.4,0.0,1.8,0.0,4.2,32.0,0,0,-16.2
D'Angelo Russell,BKN,23,5,1,4,45.8,30.0,11.5,31.9,35.9,3.7,11.5,32.4,3.4,4.0,84.6,0.6,5.0,5.6,5.6,4.3,2.2,0.3,3.7,48.2,0,0,-27.6
D.J. Augustin,ORL,31,5,1,4,51.0,23.2,7.2,14.9,48.8,3.6,7.6,47.6,5.1,5.8,87.5,0.4,2.5,2.9,6.9,2.5,0.7,0.4,2.5,37.7,0,0,-24.6
D.J. Wilson,MIL,23,8,6,2,44.5,19.8,8.3,16.7,50.0,1.0,5.2,20.0,2.1,2.1,100,1.0,9.4,10.4,4.2,7.3,0.0,1.0,7.3,34.4,0,0,-21.9
Damian Jones,GSW,24,4,3,1,40.5,15.0,5.0,5.0,100,0.0,0.0,0.0,5.0,10.0,50.0,0.0,10.0,10.0,0.0,5.0,0.0,0.0,15.0,22.0,0,0,-5.0
Damian Lillard,POR,28,16,8,8,48.7,32.2,10.3,24.7,41.8,4.4,11.8,37.3,7.1,8.5,83.3,0.6,5.1,5.7,7.9,4.5,2.0,0.4,3.0,53.6,3,0,-1.0
Daniel Theis,BOS,27,7,5,2,44.6,12.8,5.3,14.9,35.7,0.0,2.1,0.0,2.1,2.1,100,4.3,6.4,10.6,0.0,1.1,1.1,1.1,4.3,30.9,0,0,-2.1
Danilo Gallinari,LAC,30,6,2,4,46.0,27.2,8.9,25.3,35.1,3.0,9.8,30.2,6.4,7.5,84.8,2.1,6.4,8.4,3.7,2.5,1.8,0.2,3.2,46.4,0,0,-9.8
Danny Green,TOR,32,24,16,8,49.2,12.0,3.8,11.2,34.2,2.8,8.6,32.8,1.5,1.7,91.3,1.2,5.0,6.3,1.9,1.9,2.3,0.8,4.3,29.7,0,0,7.8
Dante Cunningham,SAS,32,5,2,3,51.8,24.0,8.0,12.0,66.7,8.0,8.0,100,0.0,0.0,0.0,8.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,52.8,0,0,28.0
Danuel House Jr.,HOU,26,7,4,3,47.2,11.4,3.7,12.4,29.7,2.7,10.4,25.8,1.3,2.7,50.0,0.7,6.7,7.4,0.3,1.3,1.0,0.7,3.7,24.5,0,0,-0.7
Darren Collison,IND,31,4,0,4,48.7,20.0,7.9,18.8,42.2,1.7,4.6,36.4,2.5,2.5,100,1.7,3.3,5.0,6.7,4.2,0.8,0.0,4.6,34.3,0,0,-2.9
Davis Bertans,SAS,26,5,2,3,48.3,9.8,3.1,9.2,33.3,1.8,6.7,27.3,1.8,3.1,60.0,0.0,4.9,4.9,3.1,0.6,0.0,0.6,6.1,21.5,0,0,7.4
DeMar DeRozan,SAS,29,7,3,4,51.6,31.7,11.9,24.5,48.7,0.0,0.2,0.0,7.8,9.1,86.4,2.1,7.6,9.7,6.6,2.5,1.6,0.2,3.3,56.3,1,0,-6.8
DeMarcus Cousins,GSW,28,8,3,5,48.2,22.1,7.6,19.2,39.6,1.1,4.3,25.0,5.8,9.1,64.0,3.3,10.9,14.1,6.9,6.9,1.8,2.2,8.7,54.5,1,0,-10.5
DeMarre Carroll,BKN,32,5,1,4,45.4,12.5,3.4,14.4,23.7,2.7,9.1,29.2,3.0,3.0,100,2.3,5.3,7.6,0.8,1.1,1.5,0.0,3.0,26.2,0,0,-13.3
