PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Georges Niang,UTA,26,5,1,4,55,14.4,5.9,14.4,40.9,2.6,8.5,30.8,0.0,0.0,0.0,0.0,9.2,9.2,3.3,1.3,0.7,0.7,3.3,33.0,0,0,5.9
Gerald Green,HOU,33,11,6,5,97,14.5,4.5,14.8,30.0,3.7,10.8,34.5,1.9,1.9,100,0.0,4.5,4.5,0.4,1.1,1.1,1.1,4.5,25.9,0,0,-3.7
Giannis Antetokounmpo,MIL,24,15,10,5,514,26.8,9.0,18.3,49.4,1.3,3.9,32.7,7.5,11.8,63.7,2.5,10.3,12.8,5.1,3.5,1.3,2.1,3.4,56.5,10,0,7.9
Glenn Robinson III,DET,25,3,0,3,36,13.2,4.0,15.2,26.7,1.0,8.1,12.5,4.0,4.0,100,2.0,5.1,7.1,2.0,1.0,2.0,0.0,5.1,29.7,0,0,-27.3
Gordon Hayward,BOS,29,9,5,4,267,11.6,3.9,9.5,41.4,1.2,3.2,37.5,2.6,2.6,100,0.4,4.5,4.9,3.0,1.9,0.8,0.4,2.2,23.7,0,0,-1.2
Grayson Allen,UTA,23,2,0,2,14,23.1,5.1,17.9,28.6,0.0,7.7,0.0,12.8,17.9,71.4,0.0,2.6,2.6,0.0,0.0,0.0,0.0,0.0,26.1,0,0,-25.6
Greg Monroe,PHI,29,10,6,4,90,16.1,6.4,16.1,40.0,0.4,1.6,25.0,2.8,3.6,77.8,5.6,6.8,12.4,1.6,1.6,2.0,1.2,4.4,41.4,0,0,-17.3
Guerschon Yabusele,BOS,23,4,2,2,14,20.6,5.2,10.3,50.0,0.0,2.6,0.0,10.3,18.1,57.1,2.6,2.6,5.2,2.6,2.6,0.0,2.6,7.7,35.8,0,0,2.6
Iman Shumpert,HOU,29,8,4,4,109,9.5,3.3,8.6,38.5,2.6,7.2,36.4,0.3,1.3,25.0,0.3,3.6,3.9,0.7,1.0,0.3,0.0,3.3,15.3,0,0,6.3
Isaiah Hartenstein,HOU,21,2,1,1,2,63.6,31.8,31.8,100,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,15.9,0.0,0.0,0.0,0.0,15.9,82.7,0,0,-79.5
Ish Smith,DET,30,4,0,4,81,10.7,4.5,16.9,26.3,0.4,3.1,14.3,1.3,1.8,75.0,0.4,4.5,4.9,6.2,1.8,1.3,0.4,3.6,29.5,0,0,-16.5
Ivica Zubac,LAC,22,4,1,3,39,18.6,8.4,16.8,50.0,0.0,0.0,0.0,1.9,2.8,66.7,10.3,10.3,20.5,0.9,3.7,1.9,1.9,4.7,52.1,1,0,-1.9
JJ Redick,PHI,35,12,7,5,375,15.4,5.2,11.9,43.5,3.5,8.3,41.4,1.6,1.9,85.0,0.2,1.5,1.7,1.8,2.1,0.1,0.3,3.1,19.3,0,0,3.7
JaMychal Green,LAC,29,6,2,4,141,16.9,5.9,11.0,53.5,3.1,5.9,52.2,2.0,2.6,80.0,1.5,6.7,8.2,1.3,2.8,1.0,0.0,5.6,28.9,0,0,-4.6
Jacob Evans,GSW,22,7,5,2,18,10.2,4.1,10.2,40.0,2.0,4.1,50.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.1,0.0,0.0,2.0,11.7,0,0,6.1
Jae Crowder,UTA,28,5,1,4,130,15.8,4.7,12.7,37.0,2.5,8.3,30.0,3.9,5.3,73.7,1.1,6.9,8.0,1.1,0.3,1.4,0.0,1.9,31.0,1,0,-9.1
Jake Layman,POR,25,6,3,3,20,8.9,1.8,12.5,14.3,0.0,8.9,0.0,5.3,7.1,75.0,1.8,5.3,7.1,0.0,0.0,0.0,0.0,5.3,17.5,0,0,-30.3
Jakob Poeltl,SAS,23,7,3,4,177,10.4,4.7,7.3,63.9,0.0,0.2,0.0,1.0,1.8,55.6,5.1,5.9,11.0,2.4,0.6,0.4,1.0,5.3,30.9,0,0,1.8
Jamal Murray,DEN,22,14,7,7,508,21.1,7.6,17.8,42.5,2.0,5.9,33.7,4.0,4.4,90.3,1.3,3.0,4.3,4.7,1.6,1.0,0.1,1.7,35.1,1,0,4.7
James Ennis III,PHI,28,11,7,4,232,12.9,4.8,9.9,48.4,1.4,5.0,28.1,1.9,3.0,63.2,2.5,4.0,6.5,1.9,1.6,0.6,0.5,4.8,25.2,0,0,-1.1
James Harden,HOU,29,11,6,5,424,29.5,9.3,22.4,41.3,4.1,11.6,35.0,7.0,8.3,83.7,0.8,5.6,6.4,6.2,4.3,2.0,0.8,3.5,50.8,4,1,3.4
Jared Dudley,BKN,33,4,1,3,82,5.3,1.3,4.8,27.3,0.9,3.9,22.2,1.8,1.8,100,0.0,0.9,0.9,4.8,1.8,1.3,0.4,4.4,17.0,0,0,3.9
Jarell Martin,ORL,25,3,0,3,18,19.8,7.9,17.8,44.4,4.0,13.9,28.6,0.0,4.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,33.5,0,0,31.7
Jarred Vanderbilt,DEN,20,3,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,7.4,0.0,0.0,0.0,7.4,0.0,31.1,0,0,22.2
Jarrett Allen,BKN,21,5,1,4,110,18.0,6.2,10.5,59.4,0.0,0.0,0.0,5.6,6.5,85.0,4.9,6.2,11.1,3.6,2.6,1.0,1.0,4.2,40.0,0,0,-19.6
