PLAYER,GP,W,L,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE
Derrick Walton Jr.,16,8,8,9,98.6,109.2,-10.6,35.1,1.6,10.5,6.3,4.4,9.6,94.81
Derrick White,17,7,10,8,102.7,88.6,14.1,15.8,3.9,14.9,9.6,10.6,14.9,101.97
Derrick Williams,2,1,1,4,33.9,61.5,-27.6,0.0,0.0,14.3,5.6,0.0,18.5,113.06
Devin Booker,54,16,38,35,101.5,111.6,-10.1,15.4,1.5,12.6,7.0,11.8,30.9,104.68
Devin Harris,71,33,38,19,110.0,106.8,3.2,20.1,1.0,9.5,5.4,10.0,20.1,99.17
Devin Robinson,1,0,1,13,108.1,83.9,24.2,0.0,13.3,30.0,20.0,0.0,8.2,105.20
Dewayne Dedmon,62,18,44,25,102.0,107.6,-5.6,13.0,7.5,27.5,17.8,12.3,17.2,100.59
Deyonta Davis,62,16,46,15,102.1,109.5,-7.4,11.0,9.0,20.7,14.9,8.8,15.0,99.36
Dillon Brooks,82,22,60,29,101.5,106.8,-5.3,12.2,2.4,10.4,6.3,11.2,18.8,96.57
Dion Waiters,30,16,14,31,99.8,104.6,-4.8,18.1,1.0,8.8,4.8,11.2,25.3,97.73
Dirk Nowitzki,77,24,53,25,106.3,109.7,-3.4,12.3,1.3,25.0,13.0,5.2,20.6,97.47
Domantas Sabonis,74,45,29,25,106.7,104.9,1.8,14.4,10.6,25.6,18.2,13.1,22.0,98.44
Donovan Mitchell,79,46,33,33,107.3,100.9,6.4,14.6,2.3,10.3,6.3,10.8,28.9,98.34
Dorian Finney-Smith,21,4,17,21,101.1,103.0,-1.9,14.9,4.8,13.6,8.8,12.0,14.8,97.03
Doug McDermott,81,30,51,22,104.0,105.7,-1.7,11.6,2.5,9.9,6.2,8.3,14.9,98.97
Dragan Bender,82,21,61,25,99.5,110.7,-11.2,17.4,2.0,16.7,9.3,15.0,12.8,102.84
Draymond Green,70,48,22,33,112.7,103.7,9.0,36.2,4.0,21.1,13.2,14.4,17.2,102.99
Dwayne Bacon,53,25,28,14,105.2,103.9,1.3,14.4,0.6,17.6,9.0,8.7,13.7,101.55
Dwight Buycks,29,10,19,15,102.5,100.7,1.9,18.8,3.2,7.6,5.4,12.4,27.4,96.43
Dwight Howard,81,35,46,30,108.1,106.4,1.7,7.1,11.2,32.7,22.0,14.1,24.1,100.96
Dwight Powell,79,23,56,21,106.0,106.0,0.0,13.8,8.9,21.3,15.0,8.9,15.6,96.93
Dwyane Wade,67,37,30,23,105.8,105.6,0.2,20.1,3.6,14.1,8.9,12.4,25.6,100.72
E'Twaun Moore,82,48,34,32,108.7,105.3,3.3,16.2,2.5,7.3,5.0,8.9,16.1,102.94
Ed Davis,78,48,30,19,107.0,103.9,3.1,9.0,13.9,28.5,21.4,14.8,12.3,96.80
Edmond Sumner,1,0,1,2,50.0,147.1,-97.1,0.0,0.0,50.0,20.0,0.0,25.0,104.57
Ekpe Udoh,63,36,27,13,106.3,101.3,5.0,24.4,9.4,12.2,10.7,9.2,9.3,97.49
Elfrid Payton,63,13,50,29,102.9,114.3,-11.5,30.2,3.7,13.0,8.2,12.9,21.5,102.55
Emeka Okafor,26,16,10,14,103.3,100.5,2.7,6.4,13.0,19.8,16.5,10.3,13.7,106.16
Emmanuel Mudiay,64,29,35,19,101.4,113.0,-11.5,22.8,2.2,11.0,6.5,12.5,23.7,101.10
Enes Kanter,71,27,44,26,104.4,110.7,-6.3,10.3,16.5,31.1,23.7,12.0,21.5,99.35
Eric Bledsoe,74,40,34,31,109.8,106.7,3.2,21.6,2.6,11.3,7.1,12.6,25.8,99.53
Eric Gordon,69,55,14,31,115.7,102.6,13.1,11.3,1.3,7.4,4.4,9.6,24.4,100.64
Eric Moreland,67,32,35,12,100.3,99.6,0.7,30.7,11.2,28.1,19.5,16.2,10.0,96.09
Erik McCree,4,4,0,2,94.1,123.4,-29.3,0.0,0.0,25.0,12.5,33.3,18.9,106.96
Ersan Ilyasova,69,36,33,25,106.6,105.1,1.6,10.8,7.6,18.2,13.0,8.6,18.7,100.88
Evan Fournier,57,20,37,32,106.2,109.3,-3.1,14.5,1.4,9.5,5.4,8.3,23.0,102.21
Evan Turner,79,48,31,26,103.5,105.0,-1.5,19.3,1.6,11.2,6.4,11.0,15.6,99.20
Frank Kaminsky,79,35,44,23,106.9,110.0,-3.1,12.9,2.7,15.4,8.7,6.6,20.8,99.15
Frank Mason,52,17,35,19,103.4,105.3,-1.9,22.9,3.4,12.3,7.7,10.1,23.1,94.53
Frank Ntilikina,78,28,50,22,102.2,105.0,-2.8,27.4,2.4,9.0,5.7,14.4,17.1,98.75
Fred VanVleet,76,55,21,20,112.0,99.9,12.1,26.8,1.9,11.9,6.9,8.2,19.4,98.48
Furkan Korkmaz,14,11,3,6,94.9,120.9,-26.1,11.2,2.2,13.6,7.0,5.6,16.7,102.65
Garrett Temple,65,23,42,25,99.8,108.4,-8.6,17.4,1.5,9.6,5.3,11.1,16.3,96.88
Gary Harris,67,37,30,34,110.7,107.5,3.3,15.0,1.8,6.8,4.4,9.2,20.8,99.16
Gary Payton II,23,10,13,10,109.1,106.6,2.6,19.8,6.4,16.3,11.2,6.6,16.6,99.76
George Hill,67,28,39,27,107.2,111.4,-4.3,21.9,2.6,9.1,5.8,10.4,16.4,97.04
Georges Niang,9,9,0,4,90.1,99.7,-9.6,16.8,10.3,21.4,15.8,16.8,20.8,102.76
Georgios Papagiannis,17,3,14,7,109.5,119.2,-9.7,15.3,11.9,23.5,17.5,13.6,17.5,99.01
Gerald Green,41,33,8,23,106.8,102.7,4.1,5.0,1.8,13.9,7.9,6.3,22.6,99.75
Gian Clavell,7,0,7,9,105.1,91.7,13.4,12.6,1.7,11.1,6.3,8.4,15.0,100.02
Giannis Antetokounmpo,75,39,36,37,108.8,105.4,3.5,15.9,6.7,24.9,15.9,9.8,31.2,98.38
Glenn Robinson III,23,14,9,15,103.9,104.9,-1.0,15.2,3.5,8.5,6.0,4.5,12.3,98.09
Goran Dragic,75,39,36,32,105.0,104.9,0.1,20.9,2.5,11.8,7.2,9.7,25.4,98.56
Gordon Hayward,1,0,1,5,100.0,87.2,12.8,0.0,0.0,20.0,10.0,0.0,15.4,102.03
Gorgui Dieng,79,45,34,17,105.4,111.0,-5.6,12.6,8.7,23.1,15.6,10.5,16.4,98.93
Greg Monroe,51,21,30,20,100.5,110.9,-10.3,17.6,11.6,27.8,19.4,14.5,22.3,99.84
Guerschon Yabusele,33,24,9,7,102.9,104.6,-1.7,16.2,7.1,16.4,11.5,12.2,15.1,97.75
Harrison Barnes,77,24,53,34,102.7,108.7,-6.0,9.4,3.1,17.2,9.8,7.3,25.3,97.63
Hassan Whiteside,54,30,24,25,101.4,103.8,-2.4,6.7,13.5,35.4,24.2,11.4,24.0,99.18
Henry Ellenson,38,21,17,9,98.9,98.3,0.7,10.2,3.3,23.4,13.4,9.1,24.1,99.24
Ian Clark,74,43,31,20,107.7,106.0,1.7,16.0,0.8,8.4,4.8,8.3,17.4,101.81
Ian Mahinmi,77,42,35,15,106.7,105.0,1.6,11.6,13.6,18.2,15.8,21.9,15.4,98.56
Ike Anigbogu,11,5,6,3,110.8,134.1,-23.3,0.0,16.1,14.3,15.3,14.7,18.9,98.71
Iman Shumpert,14,9,5,20,108.5,103.2,5.4,17.4,2.9,12.6,8.1,16.4,12.8,100.99
Isaiah Canaan,20,9,11,21,108.4,108.7,-0.3,28.7,1.7,10.8,6.2,11.0,19.9,97.75
Isaiah Hicks,18,4,14,13,102.0,107.8,-5.8,14.3,4.7,13.9,9.4,14.3,17.9,101.15
Isaiah Taylor,67,18,49,17,103.2,105.6,-2.4,27.8,2.1,6.6,4.4,11.3,20.0,101.00
Isaiah Thomas,32,15,17,27,106.9,113.9,-7.0,21.1,2.1,6.2,4.2,13.1,28.1,103.98
Isaiah Whitehead,16,2,14,11,97.1,102.9,-5.8,14.5,2.4,12.2,7.4,17.3,28.2,100.22
Ish Smith,82,39,43,25,106.3,104.9,1.4,27.3,1.4,10.7,6.0,8.2,20.7,99.25
Ivan Rabb,36,6,30,14,101.0,111.6,-10.5,13.6,11.6,24.9,18.0,14.9,17.1,99.24
Ivica Zubac,43,19,24,10,100.2,96.2,4.0,12.8,11.5,18.7,15.2,13.3,17.8,101.01
J.J. Barea,69,23,46,23,107.0,108.3,-1.3,33.1,1.1,13.2,7.1,10.9,24.9,97.46
JJ Redick,70,45,25,30,110.2,102.1,8.1,16.3,0.5,8.2,4.5,8.0,21.6,103.33
JR Smith,80,49,31,28,110.5,112.8,-2.3,16.8,1.4,10.3,5.9,9.6,13.9,99.36
JaKarr Sampson,22,6,16,16,99.5,99.9,-0.4,8.6,6.6,17.9,12.2,7.6,12.7,95.46
JaMychal Green,55,11,44,28,101.4,110.4,-9.0,11.4,10.9,24.5,17.5,11.0,18.1,95.80
JaVale McGee,65,45,20,10,110.9,106.7,4.3,10.9,11.5,18.8,15.3,8.9,18.9,102.85
Jabari Bird,13,8,5,9,113.3,102.3,11.0,16.8,5.7,11.1,8.6,16.8,15.0,98.41
Jabari Parker,31,16,15,24,106.0,109.5,-3.5,12.8,6.2,16.4,11.2,9.8,23.3,100.67
Jack Cooley,7,4,3,13,95.0,98.7,-3.7,13.5,16.7,21.6,19.0,6.8,19.2,94.87
Jacob Pullen,3,2,1,2,71.4,66.7,4.8,0.0,0.0,0.0,0.0,33.3,20.0,114.41
Jacob Wiley,5,1,4,7,94.3,81.5,12.8,29.1,5.6,23.1,14.7,0.0,6.2,100.77
