PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Jake Voskuhl,CHI,23,16,1,15,9.0,1.9,0.7,1.6,44.0,0.0,0.0,0.0,0.5,0.9,57.1,0.8,1.4,2.1,0.3,0.8,0.3,0.4,2.4,6.2,0,0,-3.9
Jalen Rose,IND,28,72,36,36,40.9,20.5,7.9,17.3,45.7,0.8,2.4,33.9,4.0,4.8,82.8,0.5,4.5,5.0,6.0,2.9,0.9,0.6,3.2,37.1,9,0,-0.6
Jamaal Magloire,CHH,23,74,42,32,14.8,4.6,1.6,3.7,45.0,0.0,0.0,0.0,1.3,2.0,65.5,1.4,2.6,4.0,0.4,0.8,0.2,1.1,1.9,13.0,0,0,0.7
Jamal Crawford,CHI,21,61,8,53,17.2,4.6,1.8,5.0,35.2,0.7,1.9,35.0,0.4,0.6,79.4,0.1,1.3,1.5,2.3,1.4,0.7,0.2,1.1,11.3,0,0,-4.3
Jamal Mashburn,CHH,28,76,42,34,39.4,20.1,7.5,18.3,41.3,1.4,3.8,35.6,3.7,4.8,76.6,1.2,6.4,7.6,5.4,2.8,1.1,0.2,2.4,38.4,21,1,2.1
Jamal Robinson,MIA,27,6,2,4,11.9,1.0,0.5,3.7,13.6,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.3,1.8,0.3,0.5,1.0,0.0,1.2,6.2,0,0,-2.0
Jamel Thomas,NJN,24,5,0,5,11.3,2.6,1.2,3.8,31.6,0.2,0.6,33.3,0.0,0.0,0.0,0.8,1.0,1.8,0.0,1.2,0.6,0.0,1.2,5.4,0,0,-2.4
James Posey,DEN,24,82,40,42,27.5,8.1,3.0,7.2,41.2,0.8,2.6,30.0,1.4,1.7,81.6,1.5,3.7,5.3,2.0,1.2,1.1,0.5,2.8,21.0,8,0,0.3
James Robinson,ORL,30,6,3,3,8.3,1.7,0.7,1.8,36.4,0.3,0.8,40.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.7,0.7,0.2,0.8,5.1,0,0,-0.8
Jamie Feick,NJN,26,6,3,3,24.8,3.7,1.3,3.8,34.8,0.0,0.0,0.0,1.0,2.0,50.0,2.0,7.3,9.3,0.8,1.2,1.3,0.5,2.5,20.5,0,0,-1.3
Jaren Jackson,SAS,33,16,14,2,7.2,2.4,1.0,2.5,40.0,0.4,1.1,38.9,0.0,0.1,0.0,0.1,0.7,0.8,0.4,0.2,0.3,0.0,0.8,4.7,0,0,-1.1
Jason Caffey,MIL,28,70,46,24,20.8,7.1,2.6,5.2,48.8,0.0,0.0,0.0,2.0,3.0,67.3,1.9,3.1,5.0,0.8,1.1,0.5,0.4,2.6,15.9,3,0,-1.2
Jason Collier,HOU,23,23,12,11,9.5,3.1,1.2,3.1,38.0,0.0,0.0,0.0,0.7,1.0,70.8,0.5,1.1,1.6,0.3,0.5,0.1,0.1,1.2,5.6,0,0,-2.7
Jason Hart,MIL,23,1,0,1,9.9,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.5,0,0,-3.0
Jason Kidd,PHX,28,77,50,27,39.8,16.9,5.9,14.2,41.1,0.9,3.0,29.7,4.3,5.2,81.4,1.2,5.2,6.4,9.8,3.7,2.2,0.3,2.2,42.9,33,7,1.8
Jason Terry,ATL,23,82,25,57,37.7,19.7,7.3,16.7,43.6,1.5,3.8,39.5,3.7,4.4,84.6,0.5,2.8,3.3,4.9,2.9,1.3,0.1,2.5,32.4,3,0,-3.7
Jason Williams,SAC,25,77,52,25,29.7,9.4,3.6,9.0,40.7,1.3,4.0,31.5,0.8,1.0,78.9,0.2,2.2,2.4,5.4,2.1,1.2,0.1,1.5,22.3,2,0,3.2
Jeff Foster,IND,24,71,34,37,16.3,3.5,1.4,3.0,46.9,0.0,0.1,28.6,0.7,1.3,51.6,2.0,3.5,5.5,0.5,0.7,0.5,0.4,2.1,12.9,3,0,0.5
Jeff McInnis,LAC,26,81,31,50,34.9,12.9,5.3,11.5,46.3,0.6,1.8,36.1,1.6,2.0,80.7,0.5,2.2,2.7,5.5,1.4,0.9,0.1,2.5,26.1,7,1,-3.3
Jelani McCoy,SEA,23,70,38,32,16.3,4.5,2.0,3.8,52.3,0.0,0.0,0.0,0.6,1.3,44.1,1.3,2.3,3.6,0.8,1.1,0.3,0.7,2.0,11.9,0,0,-1.5
Jermaine O'Neal,IND,22,81,40,41,32.6,12.9,5.0,10.7,46.5,0.0,0.1,0.0,2.9,4.8,60.1,3.1,6.7,9.8,1.2,2.0,0.6,2.8,3.5,34.7,40,0,0.4
Jerome Kersey,MIL,39,22,14,8,11.1,3.3,1.5,3.1,46.4,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.7,2.0,0.7,0.3,0.6,0.4,1.6,9.5,0,0,0.2
Jerome Moiso,BOS,23,24,12,12,5.7,1.5,0.5,1.3,40.0,0.0,0.0,0.0,0.5,1.1,42.3,0.5,1.3,1.8,0.1,0.8,0.1,0.2,1.2,3.9,0,0,-0.5
Jerome Williams,TOR,28,59,30,29,20.0,6.3,2.3,5.0,46.3,0.0,0.1,0.0,1.7,2.3,74.1,2.3,4.2,6.5,0.8,1.1,1.0,0.3,2.1,18.1,5,0,-0.2
Jerry Stackhouse,DET,26,80,31,49,40.1,29.8,9.7,24.1,40.2,2.1,5.9,35.1,8.3,10.1,82.2,1.2,2.7,3.9,5.1,4.1,1.2,0.7,2.0,43.8,5,1,-0.8
Jim Jackson,CLE,30,56,13,43,30.2,11.5,4.3,11.3,37.8,0.5,1.4,32.5,2.5,3.0,82.2,0.9,3.1,4.0,2.9,2.3,0.9,0.2,2.5,21.7,1,0,-4.8
Jim McIlvaine,NJN,28,18,7,11,10.8,1.6,0.6,1.6,35.7,0.0,0.0,0.0,0.4,0.7,66.7,0.4,1.5,1.9,0.2,0.5,0.4,0.8,1.9,7.4,0,0,-2.4
Joe Smith,DET,25,69,28,41,28.1,12.3,4.5,11.1,40.3,0.0,0.1,0.0,3.3,4.2,80.5,2.3,4.8,7.1,1.1,1.3,0.7,0.7,3.7,25.5,10,0,0.0
Joel Przybilla,MIL,21,33,22,11,8.1,0.8,0.4,1.1,34.3,0.0,0.0,0.0,0.1,0.3,27.3,0.9,1.3,2.2,0.1,0.4,0.1,0.9,1.7,6.1,0,0,-1.4
John Amaechi,ORL,30,82,43,39,20.9,7.9,2.9,7.2,40.0,0.0,0.1,0.0,2.1,3.4,63.1,0.9,2.3,3.3,0.9,1.5,0.3,0.4,2.1,13.8,0,0,-2.4
John Coker,GSW,29,6,2,4,5.3,0.3,0.2,1.3,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.8,0.3,0.3,0.2,0.0,0.7,2.0,0,0,0.3
John Crotty,UTA,31,31,22,9,8.5,2.1,0.7,2.1,33.8,0.1,0.2,57.1,0.5,0.6,89.5,0.4,0.5,0.9,1.1,0.6,0.2,0.0,1.1,4.8,0,0,0.2
John Starks,UTA,35,75,49,26,28.3,9.3,3.6,9.1,39.8,0.9,2.4,35.2,1.2,1.5,80.2,0.4,1.7,2.1,2.4,1.3,1.0,0.1,2.9,17.4,0,0,2.2
John Stockton,UTA,39,82,53,29,29.2,11.5,4.0,7.9,50.4,0.7,1.6,46.2,2.8,3.4,81.7,0.7,2.1,2.8,8.7,2.5,1.6,0.3,2.4,31.0,18,0,6.9
John Wallace,DET,27,40,13,27,13.2,5.9,2.5,5.9,42.4,0.1,0.4,13.3,0.9,1.1,77.8,0.6,1.5,2.1,0.6,0.9,0.3,0.4,1.8,10.6,0,0,-2.3
Johnny Newman,NJN,37,82,26,56,25.0,10.9,3.5,8.5,41.9,0.7,2.1,33.5,3.1,3.6,85.5,0.4,1.7,2.1,1.4,1.3,0.8,0.1,2.8,17.0,1,0,-3.9
Jon Barry,SAC,31,62,42,20,16.3,5.1,1.7,4.1,40.4,0.7,2.1,34.8,1.0,1.2,87.7,0.3,1.3,1.5,2.1,0.9,0.5,0.1,1.1,10.9,0,0,1.3
Jonathan Bender,IND,20,59,27,32,9.7,3.3,1.1,3.2,35.5,0.2,0.7,26.8,0.8,1.2,73.5,0.2,1.0,1.3,0.5,0.7,0.1,0.5,1.2,6.7,0,0,-1.5
Jud Buechler,DET,33,57,23,34,12.9,3.4,1.3,2.9,46.0,0.6,1.4,41.6,0.2,0.2,75.0,0.4,1.3,1.6,0.7,0.4,0.4,0.2,1.5,7.5,0,0,0.0
Jumaine Jones,PHI,22,65,43,22,13.3,4.7,1.9,4.2,44.4,0.3,0.9,33.3,0.6,0.8,75.5,1.0,1.9,2.9,0.5,0.6,0.5,0.2,1.0,10.4,1,0,-0.4
Juwan Howard,DAL,28,81,32,49,36.7,18.0,7.2,15.0,47.9,0.0,0.0,0.0,3.7,4.7,77.3,2.1,5.0,7.1,2.8,3.0,0.9,0.5,3.6,31.8,16,0,-1.1
Karl Malone,UTA,37,81,52,29,35.7,23.2,8.3,16.6,49.8,0.0,0.1,40.0,6.6,8.3,79.3,1.4,6.9,8.3,4.5,3.0,1.1,0.8,2.7,42.5,27,0,4.7
Keith Van Horn,NJN,25,49,16,33,35.3,17.0,6.3,14.4,43.5,1.3,3.5,38.2,3.1,3.8,80.6,1.6,5.5,7.1,1.7,2.1,0.8,0.4,3.1,29.5,8,0,-1.8
Kelvin Cato,HOU,26,35,19,16,17.8,4.7,1.8,3.2,57.7,0.0,0.0,0.0,1.1,1.6,64.9,1.3,2.7,4.0,0.3,0.7,0.4,0.9,2.5,13.1,1,0,3.5
Kendall Gill,NJN,33,31,9,22,28.7,9.1,3.5,10.4,33.1,0.1,0.5,28.6,2.1,2.9,72.2,1.0,3.2,4.2,2.8,1.5,1.5,0.2,2.1,22.1,0,0,-2.9
Kenny Anderson,BOS,30,33,14,19,25.8,7.5,2.7,6.9,38.8,0.3,1.0,33.3,1.8,2.2,83.1,0.5,1.7,2.2,4.1,1.6,1.3,0.1,1.9,18.8,0,0,-1.3
Kenny Thomas,HOU,23,74,39,35,24.6,7.1,2.8,6.3,44.3,0.3,1.2,27.2,1.2,1.7,72.2,1.6,4.0,5.6,1.0,1.6,0.5,0.6,2.4,17.3,7,0,2.1
Kenyon Martin,NJN,23,68,22,46,33.4,12.0,5.1,11.4,44.5,0.0,0.2,9.1,1.8,2.8,63.0,2.0,5.4,7.4,1.9,2.0,1.1,1.7,4.1,30.1,11,1,-4.3
Keon Clark,TOR,26,81,48,33,21.2,7.9,3.1,6.4,48.0,0.0,0.0,0.0,1.8,3.0,59.2,1.7,3.7,5.4,0.9,1.1,0.4,1.9,3.0,21.4,3,0,-0.2
Kevin Edwards,VAN,35,46,13,33,13.8,3.5,1.2,3.7,32.9,0.1,0.4,26.3,0.9,1.2,81.1,0.5,1.3,1.8,1.1,0.8,0.6,0.2,1.0,8.9,0,0,-0.8
Kevin Garnett,MIN,25,81,47,34,39.5,22.0,8.7,18.2,47.7,0.2,0.8,28.8,4.4,5.8,76.4,2.7,8.7,11.4,5.0,2.8,1.4,1.8,2.5,49.7,54,2,2.5
Kevin Ollie,PHI,28,70,41,29,13.2,3.1,1.1,2.7,39.6,0.0,0.0,33.3,0.9,1.3,70.8,0.2,1.1,1.4,2.1,0.7,0.4,0.0,1.2,8.5,1,0,-0.4
Kevin Willis,DEN,38,78,35,43,23.4,9.3,3.9,8.8,44.1,0.0,0.1,16.7,1.4,1.9,76.9,2.3,4.6,6.8,0.6,1.1,0.7,0.7,2.8,21.5,14,0,-3.3
Keyon Dooling,LAC,21,76,29,47,16.3,5.9,1.9,4.8,40.9,0.4,1.1,35.0,1.6,2.4,69.8,0.1,1.1,1.2,2.3,1.2,0.5,0.1,1.4,11.6,0,0,-0.2
Khalid El-Amin,CHI,22,50,7,43,18.7,6.3,2.3,6.2,37.0,0.6,1.7,33.3,1.1,1.4,77.8,0.4,1.2,1.6,2.9,1.1,1.0,0.0,2.0,14.5,0,0,-3.5
Kobe Bryant,LAL,22,68,45,23,41.0,28.5,10.3,22.2,46.4,0.9,2.9,30.5,7.0,8.2,85.3,1.5,4.3,5.9,5.0,3.2,1.7,0.6,3.3,46.7,10,2,5.4
Kornel David,DET,29,27,13,14,7.7,2.3,0.9,1.9,49.0,0.0,0.0,0.0,0.4,0.5,92.3,0.6,1.4,1.9,0.3,0.4,0.2,0.1,1.0,5.7,0,0,-1.8
