PLAYER,TEAM,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
D.J. Wilson,MIL ,23,8,1,6.3%,0.1,0.1,100,100,6.3%,0.1,0.1,100,0.0%,0.0,0.0,-
Damian Lillard,POR ,28,16,16,25.7%,2.1,5.3,39.3,45.2,15.3%,1.4,3.1,46.0,10.4%,0.6,2.1,29.4
Danilo Gallinari,LAC ,30,6,6,11.8%,0.3,2.2,15.4,15.4,8.2%,0.3,1.5,22.2,3.6%,0.0,0.7,0.0
Danny Green,TOR ,32,24,8,6.5%,0.1,0.4,20.0,20.0,3.9%,0.1,0.3,33.3,2.6%,0.0,0.2,0.0
Danuel House Jr.,HOU ,26,7,1,2.7%,0.0,0.1,0.0,0.0,0.0%,0.0,0.0,-,2.7%,0.0,0.1,0.0
Darren Collison,IND ,31,4,4,31.1%,1.5,3.5,42.9,53.6,22.2%,0.8,2.5,30.0,8.9%,0.8,1.0,75.0
Davis Bertans,SAS ,26,5,1,6.7%,0.0,0.2,0.0,0.0,6.7%,0.0,0.2,0.0,0.0%,0.0,0.0,-
DeMar DeRozan,SAS ,29,7,7,39.0%,3.3,6.6,50.0,50.0,38.1%,3.3,6.4,51.1,0.8%,0.0,0.1,0.0
DeMarcus Cousins,GSW ,28,8,1,1.9%,0.1,0.1,100,100,1.9%,0.1,0.1,100,0.0%,0.0,0.0,-
DeMarre Carroll,BKN ,32,5,3,7.9%,0.0,0.6,0.0,0.0,7.9%,0.0,0.6,0.0,0.0%,0.0,0.0,-
Dennis Schroder,OKC ,25,5,5,23.6%,1.8,2.6,69.2,73.1,18.2%,1.6,2.0,80.0,5.5%,0.2,0.6,33.3
Deonte Burton,OKC ,25,3,1,40.0%,0.0,0.7,0.0,0.0,40.0%,0.0,0.7,0.0,0.0%,0.0,0.0,-
Derrick Favors,UTA ,27,5,1,2.8%,0.2,0.2,100,100,2.8%,0.2,0.2,100,0.0%,0.0,0.0,-
Derrick White,SAS ,24,7,7,24.0%,1.4,2.6,55.6,61.1,20.0%,1.1,2.1,53.3,4.0%,0.3,0.4,66.7
Domantas Sabonis,IND ,23,4,2,13.8%,0.5,1.0,50.0,50.0,13.8%,0.5,1.0,50.0,0.0%,0.0,0.0,-
Donatas Motiejunas,SAS ,28,5,1,10.0%,0.0,0.2,0.0,0.0,10.0%,0.0,0.2,0.0,0.0%,0.0,0.0,-
Donovan Mitchell,UTA ,22,5,5,25.9%,1.6,5.8,27.6,29.3,20.5%,1.4,4.6,30.4,5.4%,0.2,1.2,16.7
Doug McDermott,IND ,27,3,1,10.0%,0.3,0.3,100,100,10.0%,0.3,0.3,100,0.0%,0.0,0.0,-
Draymond Green,GSW ,29,22,16,13.2%,0.7,1.4,50.0,50.0,12.7%,0.7,1.3,51.7,0.4%,0.0,0.1,0.0
Dzanan Musa,BKN ,20,2,1,33.3%,0.5,0.5,100,100,33.3%,0.5,0.5,100,0.0%,0.0,0.0,-
Enes Kanter,POR ,27,16,9,10.2%,0.3,0.9,35.7,35.7,10.2%,0.3,0.9,35.7,0.0%,0.0,0.0,-
Eric Bledsoe,MIL ,29,15,14,22.7%,1.1,2.8,38.1,39.3,16.2%,1.0,2.0,50.0,6.5%,0.1,0.8,8.3
Eric Gordon,HOU ,30,11,10,13.3%,1.0,1.8,55.0,57.5,11.3%,0.9,1.6,58.8,2.0%,0.1,0.3,33.3
Ersan Ilyasova,MIL ,32,15,4,4.9%,0.1,0.3,50.0,50.0,4.9%,0.1,0.3,50.0,0.0%,0.0,0.0,-
Evan Fournier,ORL ,26,5,5,31.9%,2.4,4.4,54.5,59.1,27.5%,2.0,3.8,52.6,4.3%,0.4,0.6,66.7
Evan Turner,POR ,30,16,4,15.6%,0.2,0.4,42.9,42.9,15.6%,0.2,0.4,42.9,0.0%,0.0,0.0,-
Fred VanVleet,TOR ,25,24,22,25.3%,0.6,1.8,35.7,39.3,18.1%,0.5,1.3,40.0,7.2%,0.1,0.5,25.0
Furkan Korkmaz,PHI ,21,4,2,27.8%,0.3,1.3,20.0,20.0,27.8%,0.3,1.3,20.0,0.0%,0.0,0.0,-
Gary Harris,DEN ,24,14,13,23.2%,1.4,2.6,52.8,52.8,22.6%,1.4,2.5,54.3,0.6%,0.0,0.1,0.0
George Hill,MIL ,33,15,8,14.5%,0.5,1.1,41.2,44.1,11.1%,0.4,0.9,46.2,3.4%,0.1,0.3,25.0
Georges Niang,UTA ,26,5,5,22.7%,0.2,1.0,20.0,20.0,22.7%,0.2,1.0,20.0,0.0%,0.0,0.0,-
Gerald Green,HOU ,33,11,4,12.5%,0.1,0.5,20.0,30.0,5.0%,0.0,0.2,0.0,7.5%,0.1,0.3,33.3
Giannis Antetokounmpo,MIL ,24,15,15,29.3%,2.1,5.1,42.1,43.4,24.7%,2.0,4.3,46.9,4.6%,0.1,0.8,16.7
Glenn Robinson III,DET ,25,3,2,13.3%,0.3,0.7,50.0,50.0,13.3%,0.3,0.7,50.0,0.0%,0.0,0.0,-
Gordon Hayward,BOS ,29,9,8,22.9%,1.0,1.8,56.3,56.3,21.4%,1.0,1.7,60.0,1.4%,0.0,0.1,0.0
Grayson Allen,UTA ,23,2,1,14.3%,0.5,0.5,100,100,14.3%,0.5,0.5,100,0.0%,0.0,0.0,-
Greg Monroe,PHI ,29,10,1,2.5%,0.1,0.1,100,100,2.5%,0.1,0.1,100,0.0%,0.0,0.0,-
Guerschon Yabusele,BOS ,23,4,1,25.0%,0.3,0.3,100,100,25.0%,0.3,0.3,100,0.0%,0.0,0.0,-
Iman Shumpert,HOU ,29,8,3,11.5%,0.3,0.4,66.7,83.3,7.7%,0.1,0.3,50.0,3.8%,0.1,0.1,100
Ish Smith,DET ,30,4,4,23.7%,0.5,2.3,22.2,22.2,23.7%,0.5,2.3,22.2,0.0%,0.0,0.0,-
JJ Redick,PHI ,35,12,6,5.6%,0.4,0.6,71.4,100,2.4%,0.1,0.3,33.3,3.2%,0.3,0.3,100
Jacob Evans,GSW ,22,7,1,20.0%,0.0,0.1,0.0,0.0,20.0%,0.0,0.1,0.0,0.0%,0.0,0.0,-
Jae Crowder,UTA ,28,5,2,6.5%,0.2,0.6,33.3,33.3,4.3%,0.2,0.4,50.0,2.2%,0.0,0.2,0.0
Jake Layman,POR ,25,6,2,28.6%,0.0,0.3,0.0,0.0,0.0%,0.0,0.0,-,28.6%,0.0,0.3,0.0
Jamal Murray,DEN ,22,14,14,27.7%,2.0,4.9,40.6,45.7,19.7%,1.5,3.5,42.9,8.0%,0.5,1.4,35.0
James Ennis III,PHI ,28,11,3,4.7%,0.2,0.3,66.7,66.7,4.7%,0.2,0.3,66.7,0.0%,0.0,0.0,-
James Harden,HOU ,29,11,11,28.4%,2.8,6.7,41.9,51.4,13.4%,1.6,3.2,48.6,14.9%,1.3,3.5,35.9
Jaylen Brown,BOS ,22,9,6,15.1%,1.0,1.4,69.2,73.1,12.8%,0.9,1.2,72.7,2.3%,0.1,0.2,50.0
Jayson Tatum,BOS ,21,9,9,20.5%,1.1,2.6,43.5,43.5,20.5%,1.1,2.6,43.5,0.0%,0.0,0.0,-
Jerami Grant,OKC ,25,5,3,7.5%,0.2,0.6,33.3,33.3,7.5%,0.2,0.6,33.3,0.0%,0.0,0.0,-
Jeremy Lin,TOR ,30,8,2,22.2%,0.1,0.3,50.0,50.0,22.2%,0.1,0.3,50.0,0.0%,0.0,0.0,-
Jerian Grant,ORL ,26,3,2,30.0%,0.0,1.0,0.0,0.0,0.0%,0.0,0.0,-,30.0%,0.0,1.0,0.0
Jerome Robinson,LAC ,22,5,3,50.0%,0.4,1.4,28.6,28.6,42.9%,0.4,1.2,33.3,7.1%,0.0,0.2,0.0
Jimmy Butler,PHI ,29,12,12,21.7%,1.2,3.2,36.8,36.8,18.9%,1.2,2.8,42.4,2.9%,0.0,0.4,0.0
Jodie Meeks,TOR ,31,14,1,3.4%,0.1,0.1,100,150.0,0.0%,0.0,0.0,-,3.4%,0.1,0.1,100
Joe Harris,BKN ,27,5,2,4.7%,0.2,0.4,50.0,50.0,4.7%,0.2,0.4,50.0,0.0%,0.0,0.0,-
Joe Ingles,UTA ,31,5,2,10.8%,0.4,0.8,50.0,62.5,5.4%,0.2,0.4,50.0,5.4%,0.2,0.4,50.0
Joel Embiid,PHI ,25,11,10,12.6%,0.6,1.8,30.0,30.0,12.6%,0.6,1.8,30.0,0.0%,0.0,0.0,-
Jonas Jerebko,GSW ,32,16,2,4.8%,0.0,0.1,0.0,0.0,2.4%,0.0,0.1,0.0,2.4%,0.0,0.1,0.0
Jonathan Isaac,ORL ,21,5,3,7.5%,0.2,0.6,33.3,33.3,7.5%,0.2,0.6,33.3,0.0%,0.0,0.0,-
Jonathon Simmons,PHI ,29,7,3,10.0%,0.1,0.4,33.3,33.3,10.0%,0.1,0.4,33.3,0.0%,0.0,0.0,-
Jordan Bell,GSW ,24,15,3,9.7%,0.1,0.2,33.3,33.3,9.7%,0.1,0.2,33.3,0.0%,0.0,0.0,-
Kawhi Leonard,TOR ,28,24,24,34.5%,3.4,7.1,47.4,51.8,26.8%,2.8,5.5,49.6,7.7%,0.6,1.6,39.5
Kenneth Faried,HOU ,29,6,2,15.4%,0.2,0.3,50.0,50.0,15.4%,0.2,0.3,50.0,0.0%,0.0,0.0,-
Kevin Durant,GSW ,30,12,12,15.6%,1.3,3.2,42.1,48.7,12.3%,0.9,2.5,36.7,3.3%,0.4,0.7,62.5
Kevon Looney,GSW ,23,21,4,4.3%,0.1,0.2,75.0,75.0,4.3%,0.1,0.2,75.0,0.0%,0.0,0.0,-
Khris Middleton,MIL ,27,15,15,23.4%,1.5,3.1,46.8,54.3,17.4%,1.0,2.3,42.9,6.0%,0.5,0.8,58.3
Khyri Thomas,DET ,23,3,1,16.7%,0.3,0.7,50.0,50.0,16.7%,0.3,0.7,50.0,0.0%,0.0,0.0,-
Klay Thompson,GSW ,29,21,19,13.6%,1.1,2.3,49.0,54.1,11.4%,0.9,1.9,46.3,2.2%,0.2,0.4,62.5
Kyle Lowry,TOR ,33,24,22,28.8%,1.6,3.3,47.5,51.3,21.6%,1.3,2.5,53.3,7.2%,0.3,0.8,30.0
Kyrie Irving,BOS ,27,9,9,26.3%,2.3,5.2,44.7,46.8,20.7%,2.1,4.1,51.4,5.6%,0.2,1.1,20.0
LaMarcus Aldridge,SAS ,33,7,6,15.8%,1.1,2.7,42.1,42.1,15.8%,1.1,2.7,42.1,0.0%,0.0,0.0,-
Landry Shamet,LAC ,22,6,3,7.9%,0.0,0.5,0.0,0.0,7.9%,0.0,0.5,0.0,0.0%,0.0,0.0,-
Langston Galloway,DET ,27,4,1,8.8%,0.5,0.8,66.7,66.7,8.8%,0.5,0.8,66.7,0.0%,0.0,0.0,-
Lonnie Walker IV,SAS ,20,6,2,50.0%,0.2,0.7,25.0,25.0,50.0%,0.2,0.7,25.0,0.0%,0.0,0.0,-
Lou Williams,LAC ,32,6,6,32.7%,2.7,5.7,47.1,48.5,29.8%,2.5,5.2,48.4,2.9%,0.2,0.5,33.3
Luke Kennard,DET ,23,4,4,25.5%,1.0,3.0,33.3,33.3,23.4%,1.0,2.8,36.4,2.1%,0.0,0.3,0.0
Malcolm Brogdon,MIL ,26,7,6,23.4%,0.9,2.6,33.3,33.3,19.5%,0.9,2.1,40.0,3.9%,0.0,0.4,0.0
Malik Beasley,DEN ,22,14,8,17.6%,0.5,1.1,43.8,53.1,13.2%,0.3,0.9,33.3,4.4%,0.2,0.3,75.0
Marc Gasol,TOR ,34,24,10,6.7%,0.2,0.5,33.3,33.3,6.7%,0.2,0.5,33.3,0.0%,0.0,0.0,-
Marco Belinelli,SAS ,33,7,3,10.5%,0.1,0.6,25.0,25.0,5.3%,0.1,0.3,50.0,5.3%,0.0,0.3,0.0
Marcus Morris,BOS ,29,9,7,15.2%,0.9,1.3,66.7,66.7,15.2%,0.9,1.3,66.7,0.0%,0.0,0.0,-
Markieff Morris,OKC ,29,5,2,12.5%,0.2,0.4,50.0,50.0,12.5%,0.2,0.4,50.0,0.0%,0.0,0.0,-
Mason Plumlee,DEN ,29,14,4,10.9%,0.3,0.4,80.0,80.0,10.9%,0.3,0.4,80.0,0.0%,0.0,0.0,-
Maurice Harkless,POR ,26,16,5,7.4%,0.2,0.5,37.5,37.5,7.4%,0.2,0.5,37.5,0.0%,0.0,0.0,-
Melvin Frazier Jr.,ORL ,22,3,1,20.0%,0.0,0.3,0.0,0.0,20.0%,0.0,0.3,0.0,0.0%,0.0,0.0,-
Meyers Leonard,POR ,27,11,2,3.1%,0.0,0.2,0.0,0.0,3.1%,0.0,0.2,0.0,0.0%,0.0,0.0,-
Michael Carter-Williams,ORL ,27,5,3,19.4%,0.4,1.2,33.3,41.7,16.1%,0.2,1.0,20.0,3.2%,0.2,0.2,100
Mike Scott,PHI ,30,10,2,4.3%,0.1,0.2,50.0,50.0,2.1%,0.1,0.1,100,2.1%,0.0,0.1,0.0
Monte Morris,DEN ,24,14,12,26.7%,0.6,1.6,34.8,34.8,24.4%,0.6,1.5,38.1,2.3%,0.0,0.1,0.0
Montrezl Harrell,LAC ,25,6,3,7.9%,0.5,0.8,60.0,60.0,7.9%,0.5,0.8,60.0,0.0%,0.0,0.0,-
Myles Turner,IND ,23,4,2,5.7%,0.0,0.5,0.0,0.0,5.7%,0.0,0.5,0.0,0.0%,0.0,0.0,-
Nene,HOU ,36,7,1,10.0%,0.1,0.1,100,100,10.0%,0.1,0.1,100,0.0%,0.0,0.0,-
Nikola Jokic,DEN ,24,14,14,14.4%,1.1,2.6,44.4,47.2,13.2%,1.0,2.4,42.4,1.2%,0.1,0.2,66.7
Nikola Mirotic,MIL ,28,14,1,0.9%,0.1,0.1,100,100,0.9%,0.1,0.1,100,0.0%,0.0,0.0,-
Nikola Vucevic,ORL ,28,5,2,5.2%,0.2,0.6,33.3,33.3,5.2%,0.2,0.6,33.3,0.0%,0.0,0.0,-
Norman Powell,TOR ,26,23,11,19.2%,0.5,1.0,45.8,52.1,15.2%,0.3,0.8,42.1,4.0%,0.1,0.2,60.0
PJ Tucker,HOU ,34,11,1,1.1%,0.0,0.1,0.0,0.0,1.1%,0.0,0.1,0.0,0.0%,0.0,0.0,-
Pascal Siakam,TOR ,25,24,23,18.6%,1.5,3.0,52.1,52.8,17.8%,1.5,2.8,52.9,0.8%,0.0,0.1,33.3
Pat Connaughton,MIL ,26,15,6,13.0%,0.3,0.7,50.0,50.0,13.0%,0.3,0.7,50.0,0.0%,0.0,0.0,-
Patrick Beverley,LAC ,30,6,6,27.7%,1.0,2.2,46.2,57.7,19.1%,0.5,1.5,33.3,8.5%,0.5,0.7,75.0
Patrick McCaw,TOR ,23,11,1,20.0%,0.0,0.1,0.0,0.0,20.0%,0.0,0.1,0.0,0.0%,0.0,0.0,-
Patty Mills,SAS ,30,7,6,18.6%,0.6,1.1,50.0,50.0,16.3%,0.6,1.0,57.1,2.3%,0.0,0.1,0.0
Paul George,OKC ,29,5,5,24.8%,2.2,5.0,44.0,46.0,19.8%,2.0,4.0,50.0,5.0%,0.2,1.0,20.0
Paul Millsap,DEN ,34,14,13,25.5%,1.6,2.8,56.4,56.4,25.5%,1.6,2.8,56.4,0.0%,0.0,0.0,-
Quinn Cook,GSW ,26,17,9,22.9%,0.4,0.9,43.8,50.0,17.1%,0.3,0.7,41.7,5.7%,0.1,0.2,50.0
Raul Neto,UTA ,27,3,1,16.7%,0.0,0.3,0.0,0.0,16.7%,0.0,0.3,0.0,0.0%,0.0,0.0,-
Raymond Felton,OKC ,35,5,3,23.1%,0.4,0.6,66.7,66.7,23.1%,0.4,0.6,66.7,0.0%,0.0,0.0,-
Reggie Jackson,DET ,29,4,4,32.3%,2.8,5.3,52.4,54.8,27.7%,2.5,4.5,55.6,4.6%,0.3,0.8,33.3
Ricky Rubio,UTA ,28,5,5,24.2%,1.2,3.2,37.5,37.5,22.7%,1.2,3.0,40.0,1.5%,0.0,0.2,0.0
Rodions Kurucs,BKN ,21,4,2,10.0%,0.3,0.5,50.0,50.0,10.0%,0.3,0.5,50.0,0.0%,0.0,0.0,-
Rodney Hood,POR ,26,16,14,30.0%,0.9,2.1,42.4,42.4,23.6%,0.9,1.6,53.8,6.4%,0.0,0.4,0.0
Rondae Hollis-Jefferson,BKN ,24,4,3,12.1%,0.5,1.0,50.0,50.0,12.1%,0.5,1.0,50.0,0.0%,0.0,0.0,-
Royce O'Neale,UTA ,26,5,4,15.6%,0.8,1.4,57.1,64.3,11.1%,0.6,1.0,60.0,4.4%,0.2,0.4,50.0
Rudy Gay,SAS ,32,7,6,22.1%,1.0,2.1,46.7,50.0,20.6%,0.9,2.0,42.9,1.5%,0.1,0.1,100
Russell Westbrook,OKC ,30,5,5,27.9%,2.4,6.2,38.7,40.3,23.4%,2.2,5.2,42.3,4.5%,0.2,1.0,20.0
Semi Ojeleye,BOS ,24,6,1,11.1%,0.0,0.2,0.0,0.0,11.1%,0.0,0.2,0.0,0.0%,0.0,0.0,-
Seth Curry,POR ,28,16,7,17.1%,0.4,0.9,42.9,46.4,12.2%,0.3,0.6,50.0,4.9%,0.1,0.3,25.0
Shabazz Napier,BKN ,27,3,2,45.5%,1.3,1.7,80.0,100,27.3%,0.7,1.0,66.7,18.2%,0.7,0.7,100
Shai Gilgeous-Alexander,LAC ,20,6,6,31.7%,1.3,3.2,42.1,42.1,31.7%,1.3,3.2,42.1,0.0%,0.0,0.0,-
Shaun Livingston,GSW ,33,22,8,18.9%,0.2,0.6,35.7,35.7,18.9%,0.2,0.6,35.7,0.0%,0.0,0.0,-
Sindarius Thornwell,LAC ,24,4,2,33.3%,0.3,0.5,50.0,75.0,16.7%,0.0,0.3,0.0,16.7%,0.3,0.3,100
Spencer Dinwiddie,BKN ,26,5,5,32.3%,2.0,4.0,50.0,52.5,22.6%,1.8,2.8,64.3,9.7%,0.2,1.2,16.7
Stephen Curry,GSW ,31,22,21,21.1%,1.8,4.1,44.0,54.4,10.9%,0.9,2.1,44.7,10.2%,0.9,2.0,43.2
Sterling Brown,MIL ,24,11,4,13.5%,0.2,0.5,40.0,40.0,13.5%,0.2,0.5,40.0,0.0%,0.0,0.0,-
Steven Adams,OKC ,25,5,4,9.5%,0.2,0.8,25.0,25.0,9.5%,0.2,0.8,25.0,0.0%,0.0,0.0,-
T.J. McConnell,PHI ,27,9,6,40.7%,0.6,1.2,45.5,45.5,40.7%,0.6,1.2,45.5,0.0%,0.0,0.0,-
Terrance Ferguson,OKC ,21,5,1,4.0%,0.0,0.2,0.0,0.0,4.0%,0.0,0.2,0.0,0.0%,0.0,0.0,-
Terrence Ross,ORL ,28,5,5,24.1%,1.6,2.6,61.5,73.1,13.0%,1.0,1.4,71.4,11.1%,0.6,1.2,50.0
Terry Rozier,BOS ,25,9,8,23.7%,0.6,1.6,35.7,42.9,11.9%,0.3,0.8,42.9,11.9%,0.2,0.8,28.6
Thabo Sefolosha,UTA ,35,4,2,14.3%,0.0,0.5,0.0,0.0,14.3%,0.0,0.5,0.0,0.0%,0.0,0.0,-
Thaddeus Young,IND ,31,4,3,7.1%,0.5,0.8,66.7,66.7,7.1%,0.5,0.8,66.7,0.0%,0.0,0.0,-
Theo Pinson,BKN ,23,3,2,25.0%,0.3,0.7,50.0,75.0,0.0%,0.0,0.0,-,25.0%,0.3,0.7,50.0
Thon Maker,DET ,22,4,1,3.8%,0.0,0.3,0.0,0.0,3.8%,0.0,0.3,0.0,0.0%,0.0,0.0,-
Tim Frazier,MIL ,28,11,4,30.8%,0.2,0.4,50.0,50.0,23.1%,0.2,0.3,66.7,7.7%,0.0,0.1,0.0
Tobias Harris,PHI ,26,12,12,17.5%,0.9,2.4,37.9,39.7,15.1%,0.8,2.1,40.0,2.4%,0.1,0.3,25.0
Torrey Craig,DEN ,28,14,2,2.9%,0.1,0.1,50.0,50.0,2.9%,0.1,0.1,50.0,0.0%,0.0,0.0,-
Treveon Graham,BKN ,25,5,1,10.0%,0.2,0.2,100,100,10.0%,0.2,0.2,100,0.0%,0.0,0.0,-
Tyreke Evans,IND ,29,4,4,50.0%,2.5,6.0,41.7,47.9,37.5%,1.8,4.5,38.9,12.5%,0.8,1.5,50.0
Tyrone Wallace,LAC ,25,2,2,50.0%,0.5,1.0,50.0,50.0,50.0%,0.5,1.0,50.0,0.0%,0.0,0.0,-
Wayne Ellington,DET ,31,4,4,17.1%,0.5,1.5,33.3,50.0,5.7%,0.0,0.5,0.0,11.4%,0.5,1.0,50.0
Wes Iwundu,ORL ,24,5,3,27.8%,0.4,1.0,40.0,40.0,27.8%,0.4,1.0,40.0,0.0%,0.0,0.0,-
Wesley Matthews,IND ,32,4,3,13.3%,0.0,1.0,0.0,0.0,13.3%,0.0,1.0,0.0,0.0%,0.0,0.0,-
Will Barton,DEN ,28,14,14,31.1%,0.9,2.9,31.7,31.7,24.2%,0.9,2.3,40.6,6.8%,0.0,0.6,0.0
Wilson Chandler,LAC ,32,4,1,6.3%,0.0,0.3,0.0,0.0,6.3%,0.0,0.3,0.0,0.0%,0.0,0.0,-
Zach Collins,POR ,21,16,3,5.0%,0.1,0.3,50.0,50.0,5.0%,0.1,0.3,50.0,0.0%,0.0,0.0,-
