PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Patrick Beverley,LAC,30,6,2,4,195,0.6,1.1,2.6,2.6,14.6,8.5,16.3,34.0,1.1,0.2,3.9,3.7
Patrick McCaw,TOR,23,11,8,3,48,1.5,0.0,0.0,0.0,19.3,7.4,15.6,43.1,0.0,0.0,3.0,0.7
Patty Mills,SAS,30,7,3,4,152,0.0,0.5,0.0,3.8,6.1,12.5,12.5,38.3,0.2,0.9,2.1,2.6
Paul George,OKC,29,5,1,4,204,2.5,3.4,2.3,6.7,10.8,10.1,10.2,32.8,0.2,1.4,3.7,6.9
Paul Millsap,DEN,34,14,7,7,469,2.1,2.1,0.8,8.1,7.1,9.0,7.1,33.2,1.2,0.8,3.7,5.0
Quincy Pondexter,SAS,31,5,2,3,12,0.0,0.0,0.0,0.0,6.0,0.0,9.0,23.9,0.0,0.0,6.0,0.0
Quinn Cook,GSW,26,17,11,6,193,1.7,0.6,3.2,3.7,14.5,10.8,12.3,38.8,0.2,0.7,2.4,0.7
Raul Neto,UTA,27,3,0,3,20,0.0,0.0,3.7,3.7,14.7,7.3,16.5,25.7,0.0,0.0,3.7,0.0
Raymond Felton,OKC,35,5,1,4,57,0.0,0.0,3.2,0.0,11.4,10.1,1.3,22.8,0.6,0.0,4.4,1.9
Reggie Jackson,DET,29,4,0,4,108,4.3,3.7,3.0,10.7,9.4,8.7,16.4,44.8,0.0,1.0,4.0,4.0
Ricky Rubio,UTA,28,5,1,4,168,4.7,0.4,2.8,8.6,14.6,8.6,7.3,32.2,0.2,0.9,3.0,4.3
Robert Williams III,BOS,21,3,2,1,13,0.0,0.0,0.0,5.7,11.4,31.3,11.4,28.4,0.0,0.0,2.8,5.7
Rodions Kurucs,BKN,21,4,1,3,68,2.1,1.1,0.5,5.3,12.6,15.3,13.7,47.3,0.0,1.6,5.3,3.7
Rodney Hood,POR,26,16,8,8,373,1.5,2.1,1.2,4.2,10.2,13.4,7.2,32.8,0.3,0.3,2.7,3.1
Rondae Hollis-Jefferson,BKN,24,4,0,4,62,2.3,1.2,4.0,13.8,12.1,9.2,11.5,45.0,2.9,1.7,4.0,9.2
Royce O'Neale,UTA,26,5,1,4,137,3.4,0.0,1.8,6.8,9.2,8.9,7.6,27.3,0.5,0.5,3.9,1.6
Rudy Gay,SAS,32,7,3,4,178,1.0,1.4,1.0,5.2,7.1,12.1,9.9,41.5,1.0,0.6,2.6,3.2
Rudy Gobert,UTA,27,5,1,4,152,2.8,4.3,0.9,9.0,15.6,8.3,9.0,31.7,3.1,0.9,3.8,4.5
Russell Westbrook,OKC,30,5,1,4,197,2.6,3.1,3.8,7.7,12.8,12.2,11.7,35.4,0.5,1.6,3.5,3.5
Semi Ojeleye,BOS,24,6,2,4,35,3.1,2.1,0.0,2.1,16.7,11.5,20.9,31.3,0.0,1.0,5.2,2.1
Serge Ibaka,TOR,29,24,16,8,500,2.2,3.3,1.0,9.6,8.6,8.6,10.9,25.9,1.7,0.8,5.7,2.4
Seth Curry,POR,28,16,8,8,326,1.3,1.3,1.4,1.1,10.7,13.4,8.4,30.9,0.4,0.1,3.0,1.4
Shabazz Napier,BKN,27,3,0,3,28,2.5,0.0,5.1,5.1,8.9,8.9,10.2,38.2,0.0,2.5,1.3,6.4
Shai Gilgeous-Alexander,LAC,20,6,2,4,173,3.3,2.3,2.3,5.8,12.7,8.8,11.5,35.9,1.0,1.3,3.5,3.5
Shaun Livingston,GSW,33,22,14,8,322,1.8,1.6,1.8,6.3,10.1,9.0,12.4,35.8,0.4,0.7,3.9,2.4
Sindarius Thornwell,LAC,24,4,1,3,12,6.1,0.0,6.1,6.1,0.0,0.0,9.2,12.2,0.0,3.1,6.1,0.0
Skal Labissiere,POR,23,3,1,2,11,0.0,0.0,0.0,6.9,0.0,0.0,0.0,27.4,0.0,0.0,3.4,3.4
Spencer Dinwiddie,BKN,26,5,1,4,131,3.3,2.7,3.6,9.9,11.5,18.1,5.7,43.8,0.0,0.5,2.7,3.0
Stephen Curry,GSW,31,22,14,8,846,4.9,2.1,4.1,5.3,12.3,10.0,10.9,29.0,0.2,0.8,2.9,5.1
Sterling Brown,MIL,24,11,8,3,162,0.4,1.1,1.3,3.6,10.7,7.1,10.9,31.6,0.7,0.7,3.8,1.8
Steven Adams,OKC,25,5,1,4,159,2.0,1.1,1.4,12.7,12.0,11.1,11.8,34.8,1.1,1.1,2.9,3.6
T.J. McConnell,PHI,27,9,6,3,75,1.0,0.0,1.0,8.7,15.9,3.4,12.5,35.6,0.5,0.0,1.9,0.5
TJ Leaf,IND,22,1,0,1,10,0.0,7.4,0.0,0.0,0.0,11.0,18.4,7.4,0.0,3.7,0.0,3.7
Terrance Ferguson,OKC,21,5,1,4,128,0.8,0.0,2.8,1.1,15.5,8.7,15.7,32.0,0.0,0.0,5.3,0.0
Terrence Ross,ORL,28,5,1,4,146,3.9,0.5,3.5,3.5,13.3,6.7,8.9,35.5,0.5,0.0,2.5,3.7
Terry Rozier,BOS,25,9,5,4,162,1.8,1.6,2.0,4.0,11.4,8.9,10.9,28.9,0.4,0.2,3.3,4.5
Thabo Sefolosha,UTA,35,4,1,3,42,0.0,0.0,0.0,1.7,14.6,5.1,16.3,32.6,0.0,0.9,2.6,0.9
Thaddeus Young,IND,31,4,0,4,130,2.2,1.1,1.7,7.7,10.8,6.6,13.0,24.8,0.8,0.3,2.8,2.2
Theo Pinson,BKN,23,3,0,3,22,0.0,0.0,4.9,0.0,8.2,8.2,13.2,29.6,0.0,1.6,0.0,1.6
Thon Maker,DET,22,4,0,4,69,2.1,0.0,2.1,6.3,12.1,6.8,14.7,39.9,2.1,2.6,7.3,5.2
Tim Frazier,MIL,28,11,9,2,40,3.6,3.6,1.8,9.0,27.1,6.3,19.9,27.1,0.0,1.8,4.5,3.6
Tobias Harris,PHI,26,12,7,5,443,2.5,1.4,1.6,5.4,14.1,8.4,11.8,31.7,0.5,0.7,2.4,1.7
Tony Snell,MIL,27,9,7,2,28,2.5,0.0,0.0,2.5,29.1,5.1,27.9,27.9,1.3,1.3,3.8,1.3
Torrey Craig,DEN,28,14,7,7,330,1.1,1.9,0.8,3.5,7.3,10.9,6.4,36.8,0.5,0.3,4.1,1.5
Treveon Graham,BKN,25,5,1,4,79,0.9,0.0,0.9,1.8,12.4,19.2,4.1,44.8,0.5,0.0,4.6,3.2
Trey Lyles,DEN,23,3,1,2,8,0.0,0.0,0.0,0.0,26.8,17.9,8.9,44.7,0.0,0.0,4.5,0.0
Tyreke Evans,IND,29,4,0,4,84,6.4,2.1,4.7,8.6,12.0,9.4,10.3,22.3,0.4,1.3,3.4,5.1
Tyrone Wallace,LAC,25,2,0,2,11,6.6,0.0,0.0,6.6,0.0,0.0,9.8,13.1,0.0,0.0,6.6,3.3
Wayne Ellington,DET,31,4,0,4,131,0.0,1.4,0.5,0.5,11.5,9.3,16.5,42.8,0.0,1.6,1.1,1.9
Wes Iwundu,ORL,24,5,1,4,60,2.4,1.2,3.0,3.6,12.6,9.0,9.0,31.2,0.0,0.6,2.4,3.0
Wesley Matthews,IND,32,4,0,4,119,3.0,0.9,1.5,1.2,11.8,7.9,13.7,25.5,0.3,0.0,1.8,1.8
Will Barton,DEN,28,14,7,7,328,1.2,2.1,1.5,6.1,6.3,11.7,6.4,33.2,1.0,1.1,2.1,2.0
Wilson Chandler,LAC,32,4,1,3,52,1.4,2.1,2.7,4.1,8.2,12.4,4.8,22.0,0.0,0.7,4.8,2.1
Zach Collins,POR,21,16,8,8,275,0.9,2.4,0.7,7.9,11.0,13.5,7.5,29.1,2.8,0.7,7.1,4.3
Zaza Pachulia,DET,35,2,0,2,22,3.3,0.0,0.0,6.6,10.0,13.3,10.0,46.5,0.0,1.7,5.0,5.0
Zhaire Smith,PHI,20,2,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
