PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Payton, Elfrid",ORL,82,29,53,29.4,24.8,53.4,46.4,5.9,16.1,36.4,10.7,13.9,76.6,6.0,21.6,27.6,14.6,7.9,4.4,3.4,3.1,11.2,11.6,66.1,1.8
"Pierce, Paul",LAC,25,16,9,11.1,8.2,19.5,42.2,2.4,7.1,33.1,4.6,6.2,73.5,2.7,7.9,10.6,4.5,2.7,1.7,0.5,0.9,4.7,4.8,23.4,-1.1
"Plumlee, Marshall",NYK,21,6,15,8.1,6.6,14.3,46.0,1.1,4.8,22.8,3.7,4.6,80.2,2.1,5.0,7.0,3.0,2.2,1.5,1.1,0.6,3.2,3.9,17.9,0.1
"Plumlee, Mason",DEN,27,15,12,23.4,20.9,44.6,46.9,5.0,13.6,37.1,7.5,9.6,78.1,5.7,15.8,21.5,11.4,5.4,4.1,2.0,2.0,8.9,9.0,54.4,0.7
"Plumlee, Mason",POR,54,23,31,28.1,23.4,50.0,46.9,5.9,15.0,39.5,11.3,14.4,78.5,6.2,18.6,24.8,12.6,7.6,4.5,3.0,3.0,11.1,11.8,64.1,-0.4
"Plumlee, Miles",MIL,32,15,17,9.7,7.4,17.5,42.5,1.8,5.5,33.7,3.6,4.4,80.3,2.3,6.0,8.3,4.9,2.8,2.2,1.0,1.0,3.7,4.3,20.3,0.8
"Plumlee, Miles",CHA,13,4,9,13.4,11.0,23.3,47.2,4.1,9.9,41.1,3.8,5.2,74.6,3.5,8.8,12.3,7.5,3.5,1.8,0.8,0.5,5.6,5.5,29.9,3.1
"Poeltl, Jakob",TOR,54,38,16,11.6,8.3,18.4,44.9,2.2,6.4,34.2,4.9,6.3,77.5,2.0,7.6,9.6,4.8,4.0,1.8,1.5,1.0,4.9,5.3,23.6,0.1
"Porter Jr., Otto",WAS,80,48,32,32.6,27.0,57.2,47.3,6.9,18.4,37.2,12.1,16.1,75.0,6.9,22.3,29.2,15.7,10.7,4.9,3.1,2.7,13.4,13.5,73.0,-2.4
"Portis, Bobby",CHI,64,30,34,15.6,12.7,27.7,45.7,3.1,9.3,33.6,5.1,6.5,79.0,3.5,11.4,14.9,7.9,4.5,2.2,1.6,1.1,5.8,6.0,33.6,1.3
"Porzingis, Kristaps",NYK,66,26,40,32.8,26.9,59.8,45.0,6.8,19.3,35.5,12.1,16.0,75.4,8.1,22.8,30.9,14.9,8.8,5.3,2.9,4.0,12.6,13.7,72.7,1.5
"Powell, Dwight",DAL,77,30,47,17.3,13.7,28.3,48.5,3.8,9.8,38.7,6.2,7.9,78.2,3.4,12.6,16.0,7.8,5.5,2.3,1.5,1.3,7.2,6.5,37.4,2.2
"Powell, Norman",TOR,76,47,29,18.0,13.8,30.3,45.4,3.7,10.4,35.7,7.6,9.7,77.7,3.6,11.8,15.4,8.2,5.8,2.5,2.0,1.9,7.6,8.4,38.8,-1.1
"Poythress, Alex",PHI,6,0,6,26.1,23.0,45.8,50.2,4.8,12.7,38.2,12.5,15.7,79.8,6.3,17.2,23.5,12.8,8.0,4.8,2.8,1.5,11.2,12.0,63.3,6.0
"Price, Ronnie",PHX,14,4,10,9.6,7.8,16.7,46.6,2.4,6.1,40.0,4.9,6.4,76.7,1.9,7.4,9.2,4.3,3.1,1.5,1.1,0.6,4.4,5.1,22.9,3.1
"Prince, Taurean",ATL,59,28,31,16.6,12.6,29.8,42.4,3.6,10.8,33.3,5.4,7.1,75.9,3.8,11.9,15.6,7.9,5.6,3.2,1.8,1.8,7.5,6.5,34.2,0.5
"Quarterman, Tim",POR,16,6,10,5.0,3.6,8.9,40.6,0.6,2.3,25.0,2.0,2.8,72.7,1.5,3.8,5.3,1.8,1.4,1.1,0.6,0.3,1.6,1.9,9.8,-0.1
"Randle, Chasson",PHI,8,1,7,9.2,8.0,17.5,45.7,1.6,4.5,36.1,3.8,5.1,73.2,3.8,6.5,10.3,4.1,2.9,2.0,1.1,0.9,3.9,4.1,21.4,0.8
"Randle, Chasson",NYK,18,7,11,12.5,10.3,21.5,47.8,2.9,7.9,37.3,4.1,6.0,67.6,2.6,8.1,10.7,5.8,3.9,2.6,1.7,1.6,5.9,5.6,27.6,0.2
"Randle, Julius",LAL,74,24,50,28.8,25.5,52.3,48.7,6.2,16.5,37.5,11.4,14.7,77.5,6.4,20.8,27.2,16.1,8.2,4.9,3.1,2.3,10.4,12.6,68.6,6.1
