PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Nazr Mohammed,PHI,21,26,17,9,120,12.6,4.5,12.6,35.7,0.0,0.0,0.0,3.6,6.3,57.1,5.4,5.7,11.1,0.6,3.6,1.5,1.2,6.6,31.2,0,0,9.3
Negele Knight,TOR,32,6,3,3,58,5.0,1.9,5.0,37.5,0.0,0.6,0.0,1.3,2.5,50.0,0.6,3.1,3.8,5.0,4.4,0.6,0.0,3.1,14.5,0,0,-8.8
Nick Anderson,ORL,31,47,30,17,1580,16.0,5.8,14.6,39.5,2.2,6.3,34.7,2.3,3.7,61.1,1.2,5.2,6.3,2.1,1.9,1.5,0.3,1.6,30.2,5,0,2.0
Nick Van Exel,DEN,27,50,14,36,1802,16.5,6.1,15.4,39.8,1.4,4.7,30.8,2.8,3.5,81.1,0.3,2.0,2.3,7.4,2.4,0.8,0.1,1.8,30.4,10,0,-6.1
Olden Polynice,SEA,34,48,23,25,1480,9.0,4.1,8.7,47.2,0.0,0.0,100,0.7,2.3,30.9,4.5,5.9,10.3,1.0,1.2,0.5,0.7,3.6,25.4,11,0,-2.5
Oliver Miller,SAC,29,4,2,2,35,10.4,5.2,11.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0,7.3,1.0,8.3,0.0,4.2,0.0,2.1,3.1,22.5,0,0,-13.6
Othella Harrington,HOU,25,41,28,13,901,16.0,6.2,12.1,51.3,0.0,0.0,0.0,3.5,4.9,72.1,2.9,6.9,9.8,0.6,2.4,0.2,1.0,4.1,29.9,5,0,2.0
Otis Thorpe,WAS,36,49,17,32,1539,13.0,5.6,10.3,54.5,0.0,0.0,0.0,1.7,2.5,69.8,2.2,5.6,7.8,2.4,2.1,1.0,0.4,4.6,28.1,6,0,-2.2
P.J. Brown,MIA,29,50,33,17,1612,12.8,5.1,10.7,48.0,0.0,0.0,0.0,2.5,3.3,77.4,2.6,5.2,7.7,1.5,1.5,1.0,1.1,3.7,29.0,7,0,4.5
Pat Garrity,PHX,22,39,24,15,540,14.5,5.7,11.3,50.0,0.5,1.2,38.9,2.7,3.7,71.4,1.7,3.3,5.0,1.2,1.3,0.5,0.2,4.1,23.1,0,0,2.6
Patrick Ewing,NYK,36,38,20,18,1300,18.2,6.8,15.7,43.5,0.0,0.1,0.0,4.5,6.4,70.6,2.0,8.4,10.4,1.2,2.7,0.8,2.8,2.9,40.6,18,0,1.3
Paul Grant,MIL,25,6,5,1,13,11.1,5.6,16.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,2.8,0.0,5.6,2.8,0.0,11.1,17.2,0,0,-41.7
Paul Pierce,BOS,21,48,19,29,1630,17.5,6.3,14.3,43.9,1.9,4.5,41.2,3.1,4.3,71.3,2.6,4.2,6.8,2.5,2.5,1.8,1.1,3.1,35.7,3,0,-1.4
Peja Stojakovic,SAC,22,48,26,22,1025,14.1,5.0,13.1,37.8,2.0,6.3,32.0,2.2,2.6,85.1,1.5,3.5,5.0,2.5,1.9,1.4,0.2,1.5,27.1,0,0,1.2
Pete Chilcutt,VAN,30,46,7,39,692,8.6,3.3,8.9,36.6,1.4,3.5,38.2,0.7,0.9,82.4,1.5,4.6,6.1,1.6,1.5,1.1,0.6,2.7,22.1,0,0,-3.6
Peter Aluma,SAC,26,2,1,1,5,13.3,6.6,13.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,13.3,0.0,13.3,6.6,6.6,26.6,55.8,0,0,-46.5
Pooh Richardson,LAC,33,11,1,10,132,7.6,3.3,9.8,33.3,0.0,1.6,0.0,1.1,1.1,100,0.3,3.3,3.5,8.2,2.5,1.1,0.0,1.4,25.0,0,0,-7.6
Popeye Jones,BOS,29,18,6,12,203,9.6,3.5,9.0,39.2,0.0,0.2,0.0,2.5,3.0,82.4,5.0,4.2,9.2,2.7,1.2,0.9,0.0,5.5,26.0,0,0,6.9
Raef LaFrentz,DEN,23,12,3,9,388,15.4,5.5,12.0,45.7,1.1,2.9,38.7,3.3,4.5,75.0,3.1,5.4,8.4,0.7,0.8,0.8,1.6,3.5,33.0,3,0,-6.1
