PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Musa, Dzanan",BKN,9,4,5,4.4,3.4,7.6,45.6,0.8,2.9,26.9,0.8,1.1,70.0,0.6,3.2,3.8,1.8,1.3,0.7,0.4,0.3,1.7,1.1,8.4,-1.1
"Muscala, Mike",LAL,17,5,12,15.6,13.8,30.2,45.5,4.5,12.8,34.9,5.2,7.0,73.9,3.7,12.1,15.8,8.3,4.6,2.6,1.4,2.1,4.8,6.4,37.2,1.7
"Muscala, Mike",PHI,47,30,17,22.2,18.4,40.9,45.1,4.3,13.3,32.6,10.1,12.5,80.4,4.3,15.8,20.1,10.1,6.5,3.5,1.7,2.2,10.4,10.7,51.3,-1.3
"Mykhailiuk, Svi",LAL,39,17,22,10.8,9.0,20.5,44.1,2.5,7.3,34.7,4.3,5.5,77.3,2.8,7.8,10.7,5.3,3.1,1.9,1.0,1.0,4.5,4.5,24.9,-0.1
"Mykhailiuk, Svi",DET,3,2,1,6.6,5.7,10.0,56.7,1.3,3.0,44.4,2.7,3.7,72.7,1.0,5.3,6.3,3.7,2.0,1.0,0.3,1.0,1.7,2.7,15.3,4.0
"Nader, Abdel",OKC,61,38,23,11.4,9.5,20.8,45.9,2.5,7.1,36.0,4.8,6.5,74.1,2.8,9.3,12.1,5.5,3.7,2.0,1.3,1.3,4.7,5.3,26.4,2.5
"Nance Jr., Larry",CLE,67,16,51,26.8,23.5,47.7,49.3,6.6,17.6,37.5,9.1,11.7,77.1,4.9,18.7,23.6,14.4,6.8,4.1,3.0,1.3,10.6,11.7,62.7,4.8
"Napier, Shabazz",BKN,56,26,30,17.6,14.9,32.6,45.6,3.3,11.1,29.9,6.2,7.9,78.7,3.1,12.8,15.9,8.2,4.7,2.8,1.7,1.4,7.9,7.4,39.3,-0.3
Nene,HOU,42,29,13,13.0,10.1,22.8,44.5,2.4,7.9,30.0,5.5,7.9,69.6,3.0,9.7,12.7,5.9,4.0,1.9,1.2,1.1,5.3,6.7,28.1,-2.4
"Neto, Raul",UTA,37,26,11,12.8,10.3,23.8,43.2,2.2,7.1,30.7,4.8,6.4,75.4,2.7,7.9,10.6,5.4,3.5,2.4,0.9,1.7,5.3,6.1,27.6,-4.7
"Niang, Georges",UTA,59,41,18,8.8,7.8,16.9,46.4,2.0,5.2,38.2,3.6,4.9,74.9,1.7,6.3,8.0,4.3,2.1,1.4,0.9,1.1,4.0,4.1,21.3,1.6
