PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Ed Davis,BKN,30,3,1,2,13.6,100,0.0,87.5,0.0,0.0,0.0,12.5,0.0,87.5,57.1,42.9,0.0,0.0,57.1,42.9
Edmond Sumner,IND,23,1,0,1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekpe Udoh,UTA,32,2,0,2,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enes Kanter,POR,27,16,8,8,28.8,97.3,2.7,81.3,11.0,1.6,1.1,17.0,11.0,70.3,54.1,45.9,100,0.0,54.7,45.3
Eric Bledsoe,MIL,29,15,10,5,28.2,61.1,38.9,57.6,8.8,24.9,20.5,17.6,15.1,48.8,49.2,50.8,58.8,41.2,51.3,48.7
Eric Gordon,HOU,30,11,6,5,37.2,36.7,63.3,29.6,0.0,58.2,18.9,12.2,15.3,29.6,58.6,41.4,92.1,7.9,77.6,22.4
Eric Moreland,TOR,27,8,6,2,3.5,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,100,0.0
Ersan Ilyasova,MIL,32,15,10,5,18.2,50.6,49.4,45.1,9.8,35.3,10.8,19.6,10.8,35.3,60.9,39.1,100,0.0,74.3,25.7
Evan Fournier,ORL,26,5,1,4,35.0,50.7,49.3,51.6,19.4,38.7,17.7,9.7,16.1,32.3,37.5,62.5,75.0,25.0,50.0,50.0
Evan Turner,POR,30,16,8,8,15.3,97.8,2.2,65.1,9.3,7.0,2.3,27.9,0.0,55.8,64.3,35.7,100,0.0,66.7,33.3
Fred VanVleet,TOR,25,24,16,8,24.7,41.0,59.0,28.1,10.4,59.4,9.9,12.5,10.9,17.7,37.0,63.0,84.2,15.8,64.6,35.4
Furkan Korkmaz,PHI,21,4,3,1,8.9,55.6,44.4,31.6,10.5,47.4,0.0,21.1,0.0,21.1,33.3,66.7,66.7,33.3,50.0,50.0
Garrett Temple,LAC,33,6,2,4,10.5,36.4,63.6,28.6,14.3,21.4,0.0,50.0,0.0,14.3,100,0.0,100,0.0,100,0.0
Gary Clark,HOU,24,2,1,1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Harris,DEN,24,14,7,7,37.0,63.9,36.1,53.3,7.0,30.2,25.1,16.6,12.1,46.2,62.3,37.7,90.0,10.0,69.9,30.1
George Hill,MIL,33,15,10,5,26.3,59.3,40.7,49.7,4.6,34.7,19.1,15.6,13.9,45.1,48.8,51.2,85.0,15.0,60.3,39.7
Georges Niang,UTA,26,5,1,4,11.0,40.9,59.1,45.5,0.0,54.5,50.0,0.0,18.2,45.5,60.0,40.0,100,0.0,77.8,22.2
Gerald Green,HOU,33,11,6,5,8.8,27.5,72.5,10.3,0.0,76.9,23.1,12.8,23.1,10.3,50.0,50.0,80.0,20.0,75.0,25.0
Giannis Antetokounmpo,MIL,24,15,10,5,34.3,78.9,21.1,58.0,2.6,14.1,28.7,27.9,13.3,55.4,45.9,54.1,83.3,16.7,51.2,48.8
Glenn Robinson III,DET,25,3,0,3,11.9,46.7,53.3,46.2,15.4,23.1,15.4,30.8,53.8,30.8,33.3,66.7,100,0.0,50.0,50.0
Gordon Hayward,BOS,29,9,5,4,29.6,65.7,34.3,46.5,9.3,31.4,15.1,22.1,12.8,37.2,45.0,55.0,88.9,11.1,58.6,41.4
Grayson Allen,UTA,23,2,0,2,7.0,57.1,42.9,44.4,0.0,0.0,0.0,55.6,22.2,44.4,0.0,100,0.0,0.0,0.0,100
Greg Monroe,PHI,29,10,6,4,9.0,90.0,10.0,75.0,5.0,7.5,5.0,17.5,12.5,70.0,60.0,40.0,100,0.0,62.5,37.5
Guerschon Yabusele,BOS,23,4,2,2,3.5,75.0,25.0,50.0,0.0,0.0,37.5,50.0,37.5,50.0,50.0,50.0,0.0,0.0,50.0,50.0
Iman Shumpert,HOU,29,8,4,4,13.7,15.4,84.6,13.8,6.9,82.8,10.3,3.4,10.3,6.9,100,0.0,87.5,12.5,90.0,10.0
Isaiah Hartenstein,HOU,21,2,1,1,1.1,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,50.0,50.0,0.0,0.0,50.0,50.0
Ish Smith,DET,30,4,0,4,20.2,81.6,18.4,75.0,25.0,12.5,0.0,12.5,12.5,50.0,0.0,100,100,0.0,10.0,90.0
Ivica Zubac,LAC,22,4,1,3,9.7,100,0.0,90.0,10.0,0.0,0.0,10.0,10.0,80.0,44.4,55.6,0.0,0.0,44.4,55.6
JJ Redick,PHI,35,12,7,5,31.3,29.8,70.2,22.4,17.4,67.1,9.3,10.6,12.4,5.0,94.4,5.6,88.9,11.1,90.7,9.3
JaMychal Green,LAC,29,6,2,4,23.5,46.5,53.5,33.3,6.1,54.5,15.2,12.1,19.7,27.3,81.8,18.2,100,0.0,91.3,8.7
Jacob Evans,GSW,22,7,5,2,2.5,60.0,40.0,40.0,40.0,60.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,100,0.0
Jae Crowder,UTA,28,5,1,4,26.0,34.8,65.2,28.1,0.0,47.4,8.8,24.6,19.3,28.1,50.0,50.0,100,0.0,76.5,23.5
Jake Layman,POR,25,6,3,3,3.4,28.6,71.4,40.0,0.0,0.0,0.0,60.0,0.0,40.0,100,0.0,0.0,0.0,100,0.0
Jakob Poeltl,SAS,23,7,3,4,25.3,97.2,2.8,90.2,0.0,0.0,3.9,9.8,11.8,90.2,73.9,26.1,0.0,0.0,73.9,26.1
Jamal Murray,DEN,22,14,7,7,36.3,67.1,32.9,53.0,14.1,28.2,6.4,18.8,12.4,38.9,49.4,50.6,50.0,50.0,49.5,50.5
James Ennis III,PHI,28,11,7,4,21.1,50.0,50.0,53.0,4.8,32.5,13.3,14.5,15.7,48.2,59.1,40.9,100,0.0,71.0,29.0
James Harden,HOU,29,11,6,5,38.6,48.1,51.9,35.1,1.1,41.4,4.6,23.6,14.7,33.9,11.5,88.5,12.5,87.5,11.9,88.1
Jared Dudley,BKN,33,4,1,3,20.6,18.2,81.8,16.7,16.7,50.0,0.0,33.3,41.7,0.0,100,0.0,100,0.0,100,0.0
Jarell Martin,ORL,25,3,0,3,6.1,22.2,77.8,40.0,0.0,60.0,0.0,0.0,0.0,40.0,100,0.0,100,0.0,100,0.0
Jarred Vanderbilt,DEN,20,3,1,2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Allen,BKN,21,5,1,4,22.0,100,0.0,69.1,0.0,0.0,3.6,30.9,23.6,69.1,84.2,15.8,0.0,0.0,84.2,15.8
Jaylen Brown,BOS,22,9,5,4,30.4,54.0,46.0,48.0,4.8,33.6,21.6,18.4,15.2,43.2,60.0,40.0,92.9,7.1,70.5,29.5
Jayson Tatum,BOS,21,9,5,4,32.8,72.3,27.7,56.9,20.4,21.9,27.7,21.2,16.8,36.5,59.0,41.0,100,0.0,67.3,32.7
Jerami Grant,OKC,25,5,1,4,35.2,50.0,50.0,37.9,3.4,46.6,12.1,15.5,17.2,34.5,72.7,27.3,100,0.0,85.0,15.0
Jeremy Lin,TOR,30,8,7,1,3.4,77.8,22.2,22.2,22.2,33.3,0.0,44.4,33.3,0.0,0.0,100,0.0,100,0.0,100
Jerian Grant,ORL,26,3,0,3,4.7,30.0,70.0,80.0,40.0,0.0,0.0,20.0,0.0,40.0,50.0,50.0,0.0,0.0,50.0,50.0
Jerome Robinson,LAC,22,5,1,4,9.2,57.1,42.9,22.2,0.0,50.0,22.2,27.8,11.1,22.2,50.0,50.0,100,0.0,80.0,20.0
Jimmy Butler,PHI,29,12,7,5,35.1,74.3,25.7,57.5,10.3,15.5,13.3,27.0,15.0,47.2,34.3,65.7,75.0,25.0,40.5,59.5
Jodie Meeks,TOR,31,14,9,5,4.8,55.2,44.8,63.6,27.3,27.3,0.0,9.1,0.0,36.4,85.7,14.3,50.0,50.0,77.8,22.2
Joe Harris,BKN,27,5,1,4,29.9,51.2,48.8,54.5,9.1,27.3,11.4,18.2,20.5,45.5,83.3,16.7,100,0.0,87.5,12.5
Joe Ingles,UTA,31,5,1,4,30.1,21.6,78.4,25.0,0.0,75.0,18.8,0.0,46.9,25.0,75.0,25.0,87.5,12.5,83.3,16.7
Joel Embiid,PHI,25,11,6,5,30.4,75.5,24.5,50.5,6.3,16.2,1.4,33.3,13.1,44.1,66.1,33.9,100,0.0,72.1,27.9
Jon Leuer,DET,30,1,0,1,4.9,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,100,0.0
Jonah Bolden,PHI,23,10,7,3,7.9,15.8,84.2,12.5,0.0,75.0,18.8,12.5,31.3,12.5,0.0,100,100,0.0,80.0,20.0
Jonas Jerebko,GSW,32,16,11,5,7.6,54.8,45.2,41.2,17.6,44.1,17.6,14.7,20.6,23.5,85.7,14.3,100,0.0,91.7,8.3
Jonathan Isaac,ORL,21,5,1,4,27.3,50.0,50.0,42.4,6.1,36.4,0.0,21.2,9.1,36.4,42.9,57.1,100,0.0,63.6,36.4
Jonathon Simmons,PHI,29,7,5,2,7.4,66.7,33.3,64.0,32.0,24.0,44.0,12.0,16.0,32.0,25.0,75.0,100,0.0,40.0,60.0
Jordan Bell,GSW,24,15,11,4,7.0,100,0.0,82.9,19.5,0.0,14.6,17.1,4.9,63.4,70.6,29.4,0.0,0.0,70.6,29.4
Jose Calderon,DET,37,3,0,3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juancho Hernangomez,DEN,23,5,3,2,2.9,33.3,66.7,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0
Kawhi Leonard,TOR,28,24,16,8,39.1,70.8,29.2,51.4,15.8,22.5,17.2,26.1,16.5,35.5,28.2,71.8,50.9,49.1,33.3,66.7
Kenneth Faried,HOU,29,6,4,2,9.4,92.3,7.7,66.7,0.0,12.5,8.3,20.8,16.7,66.7,75.0,25.0,100,0.0,77.8,22.2
Kevin Durant,GSW,30,12,8,4,36.8,67.1,32.9,46.5,23.3,27.1,14.0,26.4,14.2,23.3,55.6,44.4,65.7,34.3,58.4,41.6
Kevon Looney,GSW,23,21,14,7,20.5,100,0.0,85.9,6.7,0.0,8.7,14.1,8.7,79.2,81.3,18.8,0.0,0.0,81.3,18.8
Khem Birch,ORL,26,5,1,4,18.3,100,0.0,76.9,0.0,0.0,7.7,23.1,19.2,76.9,80.0,20.0,0.0,0.0,80.0,20.0
Khris Middleton,MIL,27,15,10,5,34.3,54.2,45.8,34.6,20.5,47.2,20.9,18.1,11.8,14.2,45.5,54.5,67.5,32.5,56.0,44.0
Khyri Thomas,DET,23,3,0,3,5.0,66.7,33.3,71.4,42.9,21.4,14.3,7.1,21.4,28.6,60.0,40.0,100,0.0,66.7,33.3
Klay Thompson,GSW,29,21,14,7,39.0,56.1,43.9,43.2,23.0,48.3,14.7,8.5,19.1,20.2,73.4,26.6,88.6,11.4,79.9,20.1
Kyle Korver,UTA,38,4,1,3,7.4,25.0,75.0,20.0,20.0,60.0,0.0,20.0,0.0,0.0,100,0.0,100,0.0,100,0.0
Kyle Lowry,TOR,33,24,16,8,37.5,47.7,52.3,38.8,5.5,43.2,19.7,18.0,16.3,33.2,30.0,70.0,76.9,23.1,50.0,50.0
Kyle O'Quinn,IND,29,1,0,1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrie Irving,BOS,27,9,5,4,36.7,67.6,32.4,53.1,19.8,28.1,15.6,18.8,12.5,33.3,7.8,92.2,66.7,33.3,23.2,76.8
LaMarcus Aldridge,SAS,33,7,3,4,34.9,90.9,9.1,74.3,24.3,6.4,4.3,19.3,13.6,50.0,59.6,40.4,100,0.0,61.8,38.2
