PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Jawun Evans,OKC,22,8,4,4,64.0,14.2,6.7,12.8,0.0,9.4,0.0,0.0,14.3,28.2,26.1,38.5,28.6,37.5,0.0,33.3,29.6,15.0,5.9
Jaylen Adams,ATL,23,34,13,21,428.0,13.1,10.5,13.1,17.2,19.6,6.4,5.8,11.1,16.2,14.9,29.7,21.2,17.9,10.2,12.5,20.9,8.8,11.0
Jaylen Brown,BOS,22,74,41,33,1913.0,21.5,22.5,22.2,19.4,20.4,21.0,25.0,16.9,17.8,17.6,9.6,18.8,19.4,15.0,28.1,21.9,21.5,21.9
Jaylen Morris,MIL,23,4,4,0,29.0,15.0,14.8,15.4,10.0,13.0,14.3,22.2,0.0,19.2,12.5,23.5,10.0,28.6,0.0,50.0,8.3,14.3,14.1
Jayson Tatum,BOS,21,79,48,31,2455.0,21.8,21.4,22.3,18.2,17.9,25.1,24.0,14.3,23.2,21.2,12.6,19.8,19.1,20.1,24.6,16.6,21.5,21.6
Jeff Green,WAS,32,77,29,48,2097.0,17.4,18.1,17.9,21.2,21.8,21.4,19.1,13.6,18.0,17.0,12.2,16.0,12.6,20.9,12.7,17.9,18.5,19.0
Jeff Teague,MIN,31,42,23,19,1264.0,18.6,15.8,17.3,12.9,14.9,23.2,23.3,4.7,10.4,8.8,51.2,25.5,19.5,11.9,20.7,16.8,21.2,16.8
Jemerrio Jones,LAL,24,6,3,3,143.0,10.8,9.6,11.9,5.7,10.9,2.6,3.4,31.4,27.0,28.3,15.5,9.3,36.8,26.3,18.2,17.5,5.9,8.3
Jerami Grant,OKC,25,80,48,32,2612.0,15.0,17.3,16.1,18.2,16.6,16.3,16.1,13.5,16.5,15.7,5.9,8.8,12.1,37.6,23.0,18.4,17.4,17.3
Jeremy Lamb,CHA,27,79,38,41,2250.0,22.0,23.0,23.3,20.4,20.7,27.2,24.9,13.6,23.4,21.1,15.9,14.4,25.5,14.2,16.0,16.7,21.5,23.4
Jeremy Lin,TOR,30,74,31,43,1436.0,21.3,20.4,20.7,17.1,19.7,31.3,28.2,7.3,14.6,13.0,32.6,23.8,20.1,8.3,21.5,19.8,32.8,22.0
Jerian Grant,ORL,26,60,28,32,939.0,13.0,12.5,12.9,18.1,17.6,9.4,10.8,9.9,12.0,11.5,33.4,19.1,32.6,5.2,9.3,18.8,17.4,12.7
Jerome Robinson,LAC,22,33,18,15,321.0,15.9,15.7,19.1,31.0,37.0,4.3,4.6,4.9,15.9,13.7,11.6,13.5,26.8,8.6,20.9,24.5,7.5,14.8
Jerryd Bayless,MIN,30,34,15,19,657.0,17.2,15.3,18.7,22.7,23.8,6.8,9.2,6.8,11.8,10.5,38.4,17.6,18.0,3.4,10.4,19.1,9.7,14.5
Jevon Carter,MEM,23,39,9,30,577.0,17.2,13.0,18.0,29.3,26.6,13.2,12.6,11.2,12.7,12.4,25.6,18.2,28.3,17.7,10.5,19.8,11.9,14.6
Jimmer Fredette,PHX,30,6,1,5,65.0,24.2,16.7,24.2,0.0,32.5,25.0,18.2,12.5,13.3,13.2,30.8,31.3,33.3,0.0,9.1,17.9,10.7,17.1
Jimmy Butler,PHI,29,65,38,27,2185.0,21.8,22.1,22.5,13.9,14.6,32.7,30.8,23.3,13.6,15.9,22.1,14.2,34.2,17.3,22.6,12.8,28.0,23.3
Joakim Noah,MEM,34,42,14,28,692.0,19.1,20.0,17.0,0.0,0.3,29.1,31.0,35.6,36.3,36.1,26.7,26.2,16.0,37.3,28.6,29.4,26.5,20.0
Jodie Meeks,TOR,31,8,7,1,104.0,16.9,20.2,20.0,25.8,25.4,3.8,2.9,6.7,13.4,12.4,11.4,7.7,7.7,6.3,15.4,10.6,6.1,19.2
Joe Chealey,CHA,23,1,0,1,8.0,17.6,20.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,50.0,50.0,0.0,14.3
Joe Harris,BKN,27,76,41,35,2294.0,16.7,19.1,17.8,29.0,22.8,13.4,11.8,11.0,14.5,13.8,14.7,16.2,12.6,8.3,26.0,17.7,11.8,19.4
Joe Ingles,UTA,31,82,50,32,2568.0,17.0,16.7,17.5,29.3,26.6,8.5,8.7,6.4,15.3,13.4,33.1,24.4,21.7,6.5,12.0,16.3,13.9,16.6
Joel Embiid,PHI,25,64,43,21,2154.0,32.7,31.4,31.3,16.7,20.2,48.0,46.8,35.8,41.4,40.2,19.7,33.7,15.0,49.6,39.8,23.2,44.6,33.5
