PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Stephon Marbury,MIN,21,82,45,37,38.0,17.7,6.3,15.1,41.5,1.2,3.7,31.3,4.0,5.5,73.1,0.7,2.1,2.8,8.6,3.1,1.3,0.1,2.7,34.9,27,0,0.3
Steve Henson,DET,30,23,9,14,2.5,1.6,0.6,1.1,50.0,0.1,0.3,37.5,0.3,0.3,100,0.0,0.1,0.1,0.2,0.3,0.0,0.0,0.4,1.8,0,0,0.5
Steve Kerr,CHI,32,50,37,13,22.3,7.5,2.7,6.0,45.4,1.1,2.6,43.8,0.9,1.0,91.8,0.3,1.3,1.5,1.9,0.5,0.5,0.1,1.4,13.6,0,0,2.5
Steve Nash,PHX,24,76,51,25,21.9,9.1,3.5,7.7,45.9,1.1,2.6,41.5,1.0,1.1,86.0,0.4,1.7,2.1,3.4,1.3,0.8,0.1,1.9,18.1,1,0,3.6
Steven Smith,ATL,29,73,45,28,39.1,20.1,6.7,15.1,44.4,1.3,3.8,35.1,5.3,6.2,85.5,1.8,2.4,4.2,4.0,2.4,1.0,0.4,3.0,33.0,1,0,2.8
Stojko Vrankovic,LAC,34,65,13,52,15.3,3.0,1.2,2.9,42.5,0.0,0.0,0.0,0.6,1.0,56.9,1.1,3.0,4.0,0.6,0.7,0.2,1.0,2.0,11.5,0,0,-2.2
Tariq Abdul-Wahad,SAC,23,59,17,42,16.3,6.4,2.4,6.1,40.3,0.1,0.3,21.1,1.4,2.1,67.2,0.7,1.2,2.0,0.9,1.1,0.6,0.2,1.4,11.4,0,0,-2.2
Terrell Brandon,MIL,28,50,27,23,35.7,16.8,6.8,14.6,46.4,0.6,1.9,33.3,2.6,3.1,84.6,0.5,3.1,3.5,7.7,2.9,2.2,0.3,2.4,37.4,13,0,2.3
Terry Cummings,NYK,37,74,27,47,16.0,6.3,2.7,5.8,46.7,0.0,0.0,0.0,0.9,1.3,68.4,1.3,2.5,3.8,0.6,0.7,0.5,0.1,2.4,13.1,4,0,0.1
Terry Davis,WAS,31,74,39,35,23.1,4.4,1.7,3.5,49.6,0.0,0.0,0.0,0.9,1.6,58.0,2.8,3.7,6.5,0.4,0.8,0.6,0.3,2.6,14.6,5,0,-1.0
