PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Quinn Cook,NOP,24,14,9,5,13.4,60.6,39.4,55.7,20.3,41.8,11.4,2.5,21.5,35.4,18.2,81.8,63.6,36.4,33.3,66.7
RJ Hunter,CHI,23,3,2,1,3.1,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajon Rondo,CHI,31,69,34,35,26.7,76.3,23.7,66.5,16.0,27.9,13.8,5.6,12.3,50.6,25.1,74.9,94.0,6.0,40.2,59.8
Rakeem Christmas,IND,25,29,14,15,7.6,100,0.0,64.4,0.0,0.0,3.4,35.6,13.6,64.4,73.7,26.3,0.0,0.0,73.7,26.3
Ramon Sessions,CHA,31,50,23,27,16.2,76.4,23.6,50.6,9.6,20.2,14.1,29.2,6.1,41.0,39.2,60.8,85.7,14.3,49.0,51.0
Randy Foye,BKN,33,69,17,52,18.6,37.5,62.5,28.6,4.5,56.3,12.9,15.1,12.9,24.1,25.5,74.5,76.1,23.9,54.2,45.8
Rashad Vaughn,MIL,20,41,18,23,11.2,48.1,51.9,43.7,15.5,54.9,11.3,1.4,16.2,28.2,67.7,32.3,84.6,15.4,75.4,24.6
Raul Neto,UTA,25,40,24,16,8.6,65.9,34.1,62.0,8.0,30.0,13.0,8.0,28.0,54.0,25.8,74.2,90.0,10.0,41.5,58.5
Raymond Felton,LAC,33,80,50,30,21.2,72.0,28.0,65.1,19.0,25.7,15.1,9.3,13.9,46.1,24.6,75.4,73.9,26.1,34.8,65.2
Reggie Bullock,DET,26,31,13,18,15.1,43.0,57.0,36.9,8.5,59.6,11.3,3.5,29.1,28.4,76.9,23.1,100,0.0,88.9,11.1
